tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,winner_odds,loser_odds,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2361,Wimbledon,Grass,,G,20240710,12457871,5,QF,207,261015,25,,Lorenzo Musetti,R,185.0,ITA,22,136042,13,,Taylor Fritz,R,196.0,USA,26,4.5,1.2,,3,7,6,3,6,7,3,137,83,63,29,22,5,9,6,6,2,6,1,10,1,144,88,57,32,23,7,13,25,12
2361,Wimbledon,Grass,,G,20240712,12457870,5,SF,176,275923,3,,Carlos Alcaraz,R,183.0,ESP,21,163504,5,,Daniil Medvedev,R,198.0,RUS,28,1.29,3.75,,6,6,6,6,0,6,2,113,64,47,30,21,0,3,7,3,4,4,0,5,6,131,90,59,22,20,9,15,3,5
2361,Wimbledon,Grass,,G,20240712,12457872,5,SF,168,14882,2,,Novak Djokovic,R,188.0,SRB,37,261015,25,,Lorenzo Musetti,R,185.0,ITA,22,1.11,6.5,,6,7,6,0,0,6,4,103,69,52,15,16,2,4,4,6,4,0,0,2,1,111,82,50,12,16,9,13,2,25
2405,Hamburg,Red clay,,A,20240713,12533554,3,RR,115,255420,2,,Francisco Comesana,R,178.0,ARG,23,307383,,,Abedallah Shelbayh,U,180.0,JOR,20,1.5,2.5,,6,7,0,0,0,3,0,70,56,40,8,11,1,2,4,5,0,0,0,2,0,91,61,36,16,11,12,15,122,223
2416,Gstaad,Red clay,,A,20240713,12533753,3,RR,61,342835,6,,Maks Kasnikowski,R,178.0,POL,21,145108,,,Remy Bertola,R,175.0,CHE,25,1.5,2.5,,6,6,0,0,0,4,1,47,30,22,13,8,1,1,3,1,0,0,0,3,4,46,20,12,12,8,2,6,193,302
2416,Gstaad,Red clay,,A,20240713,12533747,3,RR,172,243925,1,,Titouan Droguet,R,191.0,FRA,23,230049,,,Filip Cristian Jianu,R,180.0,ROU,22,1.5,2.5,,7,3,7,0,0,8,7,121,81,51,16,16,5,11,6,6,6,0,0,1,0,106,80,49,14,17,1,6,140,246
2416,Gstaad,Red clay,,A,20240713,12533746,3,RR,72,113905,2,,Nicolas Moreno De Alboran,R,185.0,USA,27,43761,,,Andrea Collarini,L,183.0,ARG,32,1.53,2.38,,6,6,0,0,0,9,3,45,29,25,8,8,0,0,2,2,0,0,0,0,0,55,42,25,3,8,4,8,146,292
2416,Gstaad,Red clay,,A,20240713,12533752,3,RR,143,216488,4,,Filip Misolic,R,180.0,AUT,22,63090,,A,Nerman Fatic,R,191.0,BIH,29,1.67,2.1,,6,3,7,0,0,2,2,95,56,37,20,15,9,13,3,6,5,0,0,12,3,103,54,40,20,15,8,13,180,244
2416,Gstaad,Red clay,,A,20240713,12533751,3,RR,77,302582,5,,Gustavo Heide,R,191.0,BRA,22,362612,,WC,Mika Brunold,U,191.0,CHE,19,1.29,3.5,,6,6,0,0,0,2,2,48,30,25,10,9,3,4,4,2,0,0,0,1,1,50,31,17,10,9,5,9,185,591
2416,Gstaad,Red clay,,A,20240713,12533748,3,RR,120,90798,7,,Quentin Halys,R,191.0,FRA,27,175070,,,Giovanni Fonio,R,183.0,ITA,26,1.29,3.5,,1,7,6,0,0,10,5,101,51,37,23,14,9,13,6,6,2,0,0,5,3,89,57,42,12,13,5,8,220,287
2416,Gstaad,Red clay,,A,20240713,12533749,3,RR,73,72248,3,,Juan Pablo Varillas,R,185.0,PER,28,206602,,,Clement Tabur,R,173.0,FRA,24,1.57,2.25,,6,6,0,0,0,6,1,48,30,24,14,9,2,2,4,2,0,0,0,2,1,50,30,17,12,9,2,5,159,236
2405,Hamburg,Red clay,,A,20240713,12533563,3,RR,107,172482,,,Aziz Dougaz,L,188.0,TUN,27,16683,3,,Mikhail Kukushkin,R,183.0,KAZ,36,2.75,1.4,,7,6,0,0,0,6,6,72,45,35,10,11,5,7,5,3,0,0,0,3,1,77,58,32,10,10,5,9,232,133
2405,Hamburg,Red clay,,A,20240713,12533560,3,RR,115,38517,5,,Marco Trungelliti,R,178.0,ARG,34,348701,,WC,Marko Topo,U,185.0,DEU,20,1.36,3.0,,5,6,6,0,0,2,1,78,54,39,11,14,3,6,7,3,0,0,0,0,3,72,41,23,16,13,1,7,151,455
2405,Hamburg,Red clay,,A,20240713,12533562,3,RR,114,200777,7,,Ugo Blanchet,R,175.0,FRA,25,260122,,,Dalibor Svrcina,R,178.0,CZE,21,1.83,1.83,,7,7,0,0,0,4,2,85,46,33,21,12,3,5,5,6,0,0,0,1,4,76,47,30,15,12,2,5,162,255
2405,Hamburg,Red clay,,A,20240713,12533551,3,RR,134,158748,4,,Felipe Meligeni Alves,R,185.0,BRA,26,100069,,,Vitaliy Sachko,R,188.0,UKR,27,1.3,3.4,,3,6,7,0,0,5,5,92,55,41,21,14,2,4,6,2,6,0,0,8,3,99,61,45,17,15,4,7,145,281
2405,Hamburg,Red clay,,A,20240713,12533552,3,RR,98,186885,8,,Nick Hardt,R,183.0,DOM,23,226833,,WC,Marvin Moller,R,178.0,DEU,25,1.5,2.5,,6,6,0,0,0,1,3,56,35,26,11,9,3,4,2,4,0,0,0,3,6,77,53,30,10,9,7,11,198,297
2405,Hamburg,Red clay,,A,20240713,12533553,3,RR,121,22970,,,Filip Krajinovic,R,185.0,SRB,32,207034,6,,Chun Hsin Tseng,R,175.0,TWN,22,1.83,1.83,,6,2,6,0,0,4,2,90,66,45,9,12,4,6,4,6,1,0,0,9,1,85,53,34,15,13,4,8,780,161
2405,Hamburg,Red clay,,A,20240713,12533738,3,RR,91,244420,1,,Jesper De Jong,R,180.0,NLD,24,300293,,WC,Max Hans Rehberg,R,183.0,DEU,20,1.2,4.33,,7,6,0,0,0,7,0,50,36,29,9,9,1,3,6,1,0,0,0,5,1,75,53,26,13,10,3,8,120,453
2416,Gstaad,Red clay,,A,20240713,12533750,3,RR,79,309071,,,Jerome Kym,R,198.0,CHE,21,107625,,,Maxime Janvier,R,196.0,FRA,27,1.57,2.25,,6,6,0,0,0,10,0,58,40,30,11,10,1,2,4,4,0,0,0,5,4,65,43,25,11,10,0,3,295,225
2447,Newport,Grass,,A,20240714,12537822,3,RR,76,275471,2,,Tristan Schoolkate,R,183.0,AUS,23,255993,,,James Kent Trotter,R,183.0,JPN,24,1.4,2.75,,6,6,0,0,0,3,2,41,21,18,12,8,0,1,2,3,0,0,0,0,6,67,36,20,13,9,11,16,176,283
2447,Newport,Grass,,A,20240714,12537812,3,RR,62,80665,6,,Marc Polmans,R,188.0,AUS,27,406842,,WC,Adhithya Ganesan,U,193.0,USA,18,1.06,10.0,,6,6,0,0,0,3,3,38,25,20,8,8,0,1,2,2,0,0,0,2,1,50,30,17,8,8,3,8,209,1364
