tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2437,Brisbane,Hard,,A,20231231,11929233,283070,1,,Holger Rune,R,188,DNK,21,124658,,,Max Purcell,R,185,AUS,26,4-6 6-4 6-2,3,R32,34,12,0,72,58,43,8,14,3,5,6,3,74,48,35,13,14,2,6,15,,68,
2437,Brisbane,Hard,,A,20231231,11929234,264344,,,Alexander Shevchenko,R,185,KAZ,23,335102,,,Luca Van Assche,R,178,FRA,20,6-3 6-2 0-0,3,R32,39,6,0,52,35,26,13,9,2,2,3,1,59,37,21,11,8,4,7,57,,104,
2437,Brisbane,Hard,,A,20231231,11929242,23581,2,,Grigor Dimitrov,R,191,BGR,33,15126,,,Andy Murray,R,191,GBR,37,4-6 7-5(2) 6-2,3,R32,43,13,3,83,52,43,15,15,3,5,4,0,86,51,32,21,15,4,8,10,,113,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929355,348853,,WC,Juncheng Shang,L,180,CHN,19,97231,7,,Laslo Djere,R,188,SRB,29,6-7 6-3 7-6(2),3,R32,4928,4,0,97,65,52,19,17,0,2,11,3,121,87,65,11,18,7,11,91,,51,
2437,Brisbane,Hard,,A,20231231,11929236,124930,,,Roman Safiullin,R,185,RUS,26,385485,3,,Ben Shelton,L,193,USA,21,6-3 6-7 6-3,3,R32,5092,8,6,95,50,44,28,16,5,5,12,6,103,69,53,16,15,9,11,44,,14,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929349,167370,,,Emil Ruusuvuori,R,188,FIN,25,94485,,,Benjamin Bonzi,R,183,FRA,28,6-7 6-2 6-1,3,R32,4735,5,4,99,51,33,25,14,4,7,5,2,112,71,44,13,14,17,25,87,,150,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929356,102339,,,Botic Van De Zandschulp,R,191,NLD,28,298795,,WC,Shintaro Mochizuki,R,175,JPN,21,7-5(2) 6-1 0-0,3,R32,37,3,3,71,42,30,14,10,10,12,1,1,59,26,20,10,9,5,10,97,,141,
2437,Brisbane,Hard,,A,20231231,11929348,163636,,,Lukas Klein,R,193,SVK,26,226805,11,,Maxime Cressy,R,200,USA,27,4-6 7-6(2) 6-4,3,RR,6600,10,2,101,71,58,16,16,3,4,14,11,104,65,51,21,17,3,4,128,,186,
2437,Brisbane,Hard,,A,20231231,11929457,238300,1,,Tomas Machac,R,183,CZE,23,187608,7,,Aleksandar Kovacevic,R,183,USA,25,6-4 6-2 0-0,3,RR,41,8,1,49,34,28,10,9,2,2,7,3,66,42,27,11,9,4,7,39,,88,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929350,203258,,,Pavel Kotov,R,191,RUS,25,125006,,,Nuno Borges,R,185,PRT,27,6-2 6-4 0-0,3,R32,55,4,2,57,45,33,6,9,2,3,4,2,65,34,20,15,9,2,6,53,,50,
2437,Brisbane,Hard,,A,20231231,11929458,43748,5,,Dominic Thiem,R,185,AUT,30,237188,12,,Giulio Zeppieri,L,183,ITA,22,3-6 6-4 6-4,3,RR,55,4,5,97,62,49,12,14,4,5,14,3,90,48,40,20,15,3,5,134,,153,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929751,48632,1,,Taro Daniel,R,191,JPN,31,502875,,WC,Fu Wong,U,,HKG,,6-0 6-3 0-0,3,RR,39,3,0,46,21,17,16,8,0,0,0,3,42,20,11,9,7,6,10,84,,,
2437,Brisbane,Hard,,A,20231231,11929759,39711,9,,James Duckworth,R,183,AUS,32,67154,2,,Gregoire Barrere,R,183,FRA,30,6-1 7-6(2) 0-0,3,RR,6550,7,0,71,48,32,12,12,1,2,4,2,90,54,29,15,12,8,13,81,,130,
2437,Brisbane,Hard,,A,20231231,11929742,406728,4,,Alex Michelsen,U,193,USA,19,48599,8,,Diego Schwartzman,R,170,ARG,31,6-1 6-4 0-0,3,RR,53,10,0,46,33,28,9,9,2,2,2,1,65,45,24,10,8,7,10,55,,182,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929756,105607,,,Jan Choinski,R,196,GBR,28,170946,5,,Zizou Bergs,R,185,BEL,25,6-2 6-2 0-0,3,RR,38,4,1,51,35,31,10,10,3,3,9,1,50,31,19,6,10,1,6,174,,82,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929757,145112,,,Andrea Husler,L,196,CHE,28,216154,8,,Sho Shimabukuro,R,180,JPN,26,6-2 6-4 0-0,3,RR,44,6,0,60,43,32,12,10,1,1,3,3,68,44,26,11,10,5,9,229,,251,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929754,287181,,,Andres Burruchaga,R,183,ARG,22,45258,7,,Joris de Loore,R,191,BEL,31,6-7 7-6(2) 6-4,3,RR,6344,8,4,111,71,54,22,17,1,3,18,1,107,79,54,17,19,3,6,142,,191,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929752,273679,6,,Terence Atmane,L,193,FRA,22,162638,,WC,Kit Wong,U,,HKG,25,6-4 6-2 0-0,3,RR,35,9,3,55,34,29,13,9,6,6,3,0,53,30,22,8,9,4,7,131,,1468,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929758,229218,,,Otto Virtanen,R,193,FIN,23,126356,2,,Jaume Munar,R,183,ESP,27,3-6 6-3 6-4,3,RR,42,15,1,84,54,42,15,14,1,3,3,1,75,58,41,10,14,2,5,147,,63,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929753,47764,3,,Liam Broady,L,183,GBR,30,172482,,,Aziz Dougaz,L,188,TUN,27,6-3 6-3 0-0,3,RR,42,1,3,56,40,31,7,9,3,4,3,3,58,29,20,11,9,5,9,156,,232,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11929755,100069,,,Vitaliy Sachko,R,188,UKR,26,205795,4,,Zsombor Piros,R,180,HUN,24,6-3 6-2 0-0,3,RR,47,3,0,69,50,34,7,9,7,9,0,3,55,39,20,6,8,6,11,281,,181,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11930996,48632,1,,Taro Daniel,R,191,JPN,31,105607,,,Jan Choinski,R,196,GBR,28,6-4 3-6 6-4,3,RR,45,8,3,91,54,40,21,14,6,7,8,0,77,52,38,17,15,0,2,84,,174,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11931040,145112,,,Andrea Husler,L,196,CHE,28,229218,,,Otto Virtanen,R,193,FIN,23,6-2 6-0 0-0,3,RR,22,8,0,31,22,22,6,7,0,0,3,0,50,30,15,8,7,4,9,229,,147,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11931294,47764,3,,Liam Broady,L,183,GBR,30,287181,,,Andres Burruchaga,R,183,ARG,22,6-2 6-3 0-0,3,RR,50,2,3,44,28,25,12,9,0,0,1,3,72,39,22,16,8,4,7,156,,142,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20231231,11931376,100069,,,Vitaliy Sachko,R,188,UKR,26,273679,6,,Terence Atmane,L,193,FRA,22,7-6(2) 6-1 0-0,3,RR,4948,2,1,59,41,33,11,11,2,3,6,3,63,34,22,15,9,5,8,281,,131,
2437,Brisbane,Hard,,A,20231231,11929237,128552,,,Alexei Popyrin,R,196,AUS,24,58221,,,Christopher O'Connell,R,183,AUS,30,6-4 6-7 7-6(2),3,R32,6383,12,2,108,68,55,24,19,4,5,21,0,126,78,56,26,17,7,9,47,,79,
2437,Brisbane,Hard,,A,20231231,11929869,49417,,,Li Li,R,183,AUS,28,92074,3,,Elahi Galan,R,191,COL,28,6-3 7-6(2) 0-0,3,RR,6540,11,4,78,50,39,14,11,8,9,6,3,70,46,30,14,11,2,4,210,,103,
2437,Brisbane,Hard,,A,20231231,11929238,299538,,,Matteo Arnaldi,R,185,ITA,23,47770,,,Marton Fucsovics,R,188,HUN,32,6-7 6-4 7-6(2),3,R32,5109,6,2,123,67,48,39,18,2,2,11,1,100,60,46,30,17,1,2,35,,70,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11929357,338500,8,,Arthur Fils,R,185,FRA,20,124916,,,Borna Gojo,R,196,HRV,26,6-3 4-6 6-1,3,R32,30,2,2,79,48,38,16,13,7,8,9,2,76,47,35,11,13,2,6,34,,172,
21817,"ATP Hong Kong, Hong Kong Men Singles",Hard,,A,20240101,11933401,198592,,,Miomir Kecmanovic,R,183,SRB,24,48632,,Q,Taro Daniel,R,191,JPN,31,6-3 6-2 0-0,3,R32,39,5,1,46,32,25,10,9,1,2,2,1,59,39,24,6,8,1,5,52,,84,
