player,last_date,match_number,matches_played,elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Novak Djokovic,2024-06-04,12477653,1237,2440.8005150002264,1500,1500,2448.1061467863105,2246.533662095907,2235.672944792768,1500,1500,2522.2564440210444,2343.416581251852,1841.1625151537037,1847.672933656393,1945.2683313968364
Jannik Sinner,2024-07-03,12457867,296,2407.1157434426887,1500,1500,2342.6569529109297,2021.2714605003118,1910.01554706913,1500,1500,2289.484304742609,2033.3320748227056,1899.3323502551393,1849.6969497604362,2054.5354219256815
Carlos Alcaraz,2024-07-03,12458027,224,2347.155496865408,1500,1500,2198.0261528088836,2150.0677412032223,1932.815830269163,1500,1500,2322.591522962189,2016.8264234408448,1854.48674456768,1900.195257104294,2026.0038962856938
Roger Federer,2021-06-28,188,1437,2334.473211553288,1500,1500,2304.5977884581425,2176.15234071726,2165.5580131541046,1500,1500,2408.936526683435,2301.825756172601,1877.0937700183326,1807.26540296185,1845.595949754261
Rafael Nadal,2024-05-26,12361919,1240,2273.2367227758486,1500,1500,2203.990574736466,2349.20541312123,2043.6499598101866,1500,1500,2360.9941222629177,2278.6290691010413,1806.0339500730481,1796.4198101227387,1798.0141960573571
Robin Soderling,2011-07-11,21,447,2254.097044174111,1500,1500,2130.621388563996,2088.0077047217997,1850.0001721128,1500,1500,2209.3750652689328,1981.6546311863374,1857.7432690468434,1874.2001533541843,1815.8059483989482
Juan Martin del Potro,2022-02-07,278,572,2249.085832483241,1500,1500,2227.5971131481715,2030.3492692611003,1911.3561124797568,1500,1500,2242.89289944884,2042.0509091947467,1835.2867822412302,1814.0044368452795,1798.4377113319747
Daniil Medvedev,2024-07-03,12458026,491,2247.359904554592,1500,1500,2255.8544781310125,1938.269312488291,1874.5479728885632,1500,1500,2270.0455367246122,2039.0007100165099,1842.532679943971,1821.4806517672537,1959.9473920740281
Alexander Zverev,2024-06-21,12418473,593,2235.5990607911003,1500,1500,2131.3940857227985,2146.7747454158816,1846.088961831691,1500,1500,2151.271309325028,1975.8669299349212,1890.1092059491368,1811.083048775323,1975.496504887584
Nick Kyrgios,2023-06-12,273,293,2173.9406004917996,1500,1500,2104.966715714765,1861.9010804095396,1903.8441012281626,1500,1500,2137.995672803098,1893.637169628864,1886.6003467622124,1780.0195929903857,1852.3088926812577
Grigor Dimitrov,2024-06-30,12477682,695,2170.3001047612192,1500,1500,2112.3288058988364,1938.3656587880857,1800.8215075188746,1500,1500,2093.913397111245,1922.535660899507,1873.8304374731022,1839.7290569879087,1958.7795899266278
Patrick Rafter,2001-11-12,9,508,2164.629813392225,1500,1500,2076.383486319725,1839.445419763602,1974.6146460082578,1500,1500,2160.7493546807855,1984.4305679960778,1848.313406236305,1832.851868042267,1846.8426684932617
Andre Agassi,2006-08-28,105,830,2146.175843055813,1500,1500,2145.0533769671924,1952.0163337895185,1886.6407681020166,1500,1500,2151.7707990948325,2074.0885608323215,1800.5210000756035,1762.0573216775465,1832.6360673957772
Stefanos Tsitsipas,2024-06-20,12418471,456,2145.7577726090285,1500,1500,2042.4063706007828,2127.797676880235,1786.9675113122717,1500,1500,2136.1404805170637,1985.646971547404,1889.069932359682,1789.50226650857,1940.8949426899665
Pete Sampras,2002-08-26,86,782,2144.7669924649726,1500,1500,2159.3155575943006,1840.347019128043,2065.8495171316004,1500,1500,2164.580023698552,2064.3413320336463,1959.8468919534919,1812.312130394718,1883.4038349936
Hubert Hurkacz,2024-06-22,12418470,325,2136.357336710739,1500,1500,2048.316325402378,1923.1256980722487,1860.5949689994968,1500,1500,2081.953001133825,1892.2570964038853,1916.4317772232262,1783.8525692859032,1979.0698378029376
Casper Ruud,2024-07-03,12458036,350,2115.433339380213,1500,1500,1958.0268574572374,2099.593861241213,1660.6780546428674,1500,1500,2071.5358592257553,1914.4548014296438,1836.8719133230593,1822.9509987193176,1945.783573321588
