player,last_date,match_number,matches_played,elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Ons Jabeur,2024-07-04,12460195,238,1967.0116324580704,1500,1500,1800.664371154617,1904.062472975602,1868.6526628915806,1500,1500,1934.4991019556135,1813.9470877264127,1850.4968077980939,1794.8959053070128,1876.6051143010488
Elena Rybakina,2024-07-04,12457878,237,2120.7977090089635,1500,1500,2054.0616268814233,1855.1488804532867,1846.1179928392444,1500,1500,2061.8534379955395,1912.2012426316014,1807.3275318803817,1824.6417384606682,1899.4129029135024
Jelena Ostapenko,2024-07-04,12460175,207,1953.34785946836,1500,1500,1902.6428918856116,1800.5177406709804,1822.2796547980836,1500,1500,1892.6958306420197,1793.8082895756988,1800.6884220260365,1852.6531382655644,1879.2180177886717
Iga Swiatek,2024-07-04,12460176,260,2290.0540605732726,1500,1500,2130.880938327453,2124.175552973375,1807.8449175347303,1500,1500,2227.9603443988435,2079.1352183475115,1908.2759061853033,1909.6230655393474,1995.457056018049
Madison Keys,2024-07-05,12457911,158,2009.9439235384925,1500,1500,1869.3665309134276,1864.4436995983729,1807.1488034000142,1500,1500,1948.3572570982776,1839.4735413857484,1805.6087026758055,1834.316881930809,1888.3142352345947
Petra Kvitova,2023-10-02,280,150,1924.4059643089367,1500,1500,1883.5421314297344,1601.4537254321806,1804.4197346003546,1500,1500,1897.5052862814634,1768.8663053638334,1720.0130867461153,1775.1805180171941,1760.3372375538286
Aryna Sabalenka,2024-06-21,12446866,257,2118.90076499498,1500,1500,2028.3127670742044,1959.6906333989705,1803.6199135620873,1500,1500,2083.4823541944093,1938.556591546633,1835.0852116417548,1846.4871125979635,1940.5140102253542
Ashleigh Barty,2022-01-17,100,70,2062.8789334865764,1500,1500,1976.2199073119605,1818.1604498611284,1802.898766085943,1500,1500,2030.3844558302294,1857.800053705295,1892.7495445269012,1845.8990542680929,1813.437066987599
Paula Badosa,2024-07-05,12460166,166,1955.6555576491603,1500,1500,1808.6516093624139,1858.0567740956415,1793.805534017259,1500,1500,1931.2759075321253,1798.8350539404978,1826.872081426482,1844.9355535509924,1918.7256328444018
Ekaterina Alexandrova,2024-06-24,12432714,214,1848.843209342264,1500,1500,1856.2048094736247,1632.4775300189187,1791.406367250087,1500,1500,1831.990994112897,1718.0863814758657,1775.3590812301632,1807.362205887581,1820.2524430079177
Simona Halep,2024-03-19,12169414,105,1963.5395701704235,1500,1500,1880.3550173583785,1756.4858474129712,1791.0707786761968,1500,1500,1962.0335224380121,1836.4435215515155,1715.8726074095844,1834.8066174609005,1756.6791785942473
Daria Kasatkina,2024-07-05,12460166,236,1945.8505440628937,1500,1500,1830.6191548487488,1811.5574186805518,1787.8841523800304,1500,1500,1877.8020734073161,1768.4103852383205,1777.5312906006616,1908.1089938654175,1878.428569446137
Donna Vekic,2024-07-05,12460167,153,1872.7170559442227,1500,1500,1775.5598257582662,1705.3127260736785,1786.3233565446967,1500,1500,1785.510336950265,1727.6527574808783,1767.7546333848425,1790.80897297892,1836.5139494335438
Coco Gauff,2024-07-05,12457913,232,2098.7133416772454,1500,1500,2017.9343930643015,1920.3880073279595,1785.3788376318182,1500,1500,2030.9888565757656,1906.8350326509842,1832.4100279473676,1884.745635207104,1916.9371527639958
Yulia Putintseva,2024-07-04,12460181,201,1955.7878781738789,1500,1500,1819.643467065516,1803.943785925935,1782.6930296034514,1500,1500,1838.9959815750326,1782.0906748546088,1841.5985104751949,1880.1873491637175,1927.679539600881
Katie Boulter,2024-07-04,12460191,91,1859.127749527819,1500,1500,1817.4503339269318,1354.5912611881479,1782.039856549798,1500,1500,1795.9694563583068,1699.6028130505686,1749.7345013368865,1801.118718752303,1839.4661585796562
Lulu Sun,2024-07-05,12460165,24,1831.2827308170858,1500,1500,1703.3184483311677,1527.36881178136,1778.8304945030468,1500,1500,1675.3998469514747,1610.758130112184,1800.3796355328702,1775.7129824951141,1868.3257137776332
Marketa Vondrousova,2024-07-02,12477448,156,1934.7510780107684,1500,1500,1848.5753551593168,1804.1768078871523,1778.707238150359,1500,1500,1951.0801046670165,1807.0268010284803,1713.2603035835416,1797.2322655189835,1795.7830565187503
