tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2600,Wimbledon,Grass,,G,20240706,12460168,3,R32,92,258756,,WC,Emma Raducanu,R,175.0,GBR,21,65950,9,,Maria Sakkari,R,172.0,GRC,28,,6,6,0,0,0,3,3,59,45,32,7,8,7,7,2,3,0,0,0,2,6,62,36,25,7,9,5,9,135,,9,
2600,Wimbledon,Grass,,G,20240706,12460167,3,R32,300,50641,,,Donna Vekic,R,179.0,HRV,28,189986,28,,Dayana Yastremska,R,175.0,UKR,24,,7,6,6,0,0,5,8,107,62,50,20,15,4,6,6,7,1,0,0,5,4,131,70,41,34,15,12,17,37,,27,
2600,Wimbledon,Grass,,G,20240706,12457911,3,R32,158,35424,12,,Madison Keys,R,178.0,USA,29,230056,18,,Marta Kostyuk,R,175.0,UKR,22,,6,6,0,0,0,2,1,56,46,33,6,9,0,1,4,3,0,0,0,1,2,68,48,27,10,10,7,11,13,,19,
2600,Wimbledon,Grass,,G,20240706,12460165,3,R32,122,195182,,Q,Lulu Sun,L,,NZL,23,45584,,,Lin Zhu,R,173.0,CHN,30,,7,7,0,0,0,10,8,101,59,44,19,12,15,18,6,6,0,0,0,2,1,84,61,40,13,12,2,5,123,,61,
2600,Wimbledon,Grass,,G,20240706,12457912,3,R32,116,207979,19,,Emma Navarro,R,170.0,USA,23,318575,,,Diana Shnaider,L,,RUS,20,,2,6,6,0,0,1,4,83,57,35,11,14,6,12,6,3,4,0,0,2,2,78,44,26,16,13,4,10,17,,30,
2600,Wimbledon,Grass,,G,20240706,12457910,3,R32,91,69208,7,,Jasmine Paolini,R,163.0,ITA,28,202924,,,Bianca Andreescu,R,170.0,CAN,24,,7,6,0,0,0,1,1,56,37,28,10,9,0,1,6,1,0,0,0,3,1,65,45,26,8,10,3,7,7,,176,
2600,Wimbledon,Grass,,G,20240706,12460166,3,R32,178,69050,,,Paula Badosa,R,180.0,ESP,26,132370,14,,Daria Kasatkina,R,170.0,RUS,27,,7,4,6,0,0,8,4,127,73,43,31,16,8,12,6,6,4,0,0,3,6,114,74,45,21,16,14,18,93,,12,
2600,Wimbledon,Grass,,G,20240706,12457913,3,R32,61,264983,2,,Cori Gauff,R,175.0,USA,20,291152,,Q,Sonay Kartal,R,,GBR,22,,6,6,0,0,0,5,4,42,29,26,5,8,1,2,4,0,0,0,0,1,2,48,33,16,5,8,4,9,2,,298,
2600,Wimbledon,Grass,,G,20240707,12457901,3,R16,170,195182,,Q,Lulu Sun,L,,NZL,23,258756,,WC,Emma Raducanu,R,175.0,GBR,21,,6,5,6,0,0,4,4,100,54,37,25,14,5,7,2,7,2,0,0,4,2,106,72,39,18,14,8,13,123,,135,
2600,Wimbledon,Grass,,G,20240707,12460172,3,R32,217,227431,,,Xin Yu Wang,R,182.0,CHN,22,53789,,,Harriet Dart,R,175.0,GBR,27,,2,7,6,0,0,0,5,99,63,37,15,14,7,13,6,5,3,0,0,2,7,110,69,42,16,15,10,17,42,,100,
2600,Wimbledon,Grass,,G,20240707,12457891,3,R32,75,186312,4,,Elena Rybakina,R,184.0,KAZ,25,18910,,WC,Caroline Wozniacki,R,177.0,DNK,34,,6,6,0,0,0,9,4,45,31,25,6,7,1,1,0,1,0,0,0,0,2,42,23,10,6,6,6,11,4,,91,
2600,Wimbledon,Grass,,G,20240707,12457889,3,R32,221,58515,11,,Danielle Collins,R,178.0,USA,30,59702,20,,Beatriz Haddad Maia,L,185.0,BRA,28,,6,6,0,0,0,3,8,69,35,22,16,10,4,7,4,4,0,0,0,5,5,60,39,24,6,10,3,8,11,,20,
2600,Wimbledon,Grass,,G,20240707,12460173,3,R32,80,51293,21,,Elina Svitolina,R,174.0,UKR,29,55401,10,,Ons Jabeur,R,167.0,TUN,29,,6,7,0,0,0,1,0,66,38,29,19,10,2,2,1,6,0,0,0,2,2,57,32,21,15,9,1,3,21,,10,
2600,Wimbledon,Grass,,G,20240707,12457896,3,R32,119,45545,,,Yulia Putintseva,R,163.0,KAZ,29,228272,1,,Iga Swiatek,R,176.0,POL,23,,3,6,6,0,0,0,4,85,62,42,12,12,7,8,6,1,2,0,0,5,2,78,52,32,12,12,4,8,35,,1,
2600,Wimbledon,Grass,,G,20240707,12457895,3,R32,60,64496,13,,Jelena Ostapenko,R,177.0,LVA,27,67757,,,Bernarda Pera,L,176.0,USA,29,,6,6,0,0,0,2,3,46,24,20,10,8,7,9,1,3,0,0,0,4,4,52,24,12,10,8,4,10,14,,97,
2600,Wimbledon,Grass,,G,20240707,12457890,,R32,128,60398,31,,Barbora Krejcikova,R,178.0,CZE,28,275105,,,Jessica Bouzas Maneiro,R,170.0,ESP,21,,6,4,0,0,0,3,3,36,25,23,5,6,0,0,0,3,0,0,0,0,5,36,21,11,5,7,1,5,32,,83,
2600,Wimbledon,Grass,,G,20240707,12457885,3,R32,173,179146,17,,Anna Kalinskaya,R,175.0,RUS,25,128584,15,,Liudmila Samsonova,R,182.0,RUS,25,,7,6,0,0,0,0,1,59,42,32,11,10,1,2,6,2,0,0,0,8,4,67,24,22,17,10,5,8,18,,15,
2600,Wimbledon,Grass,,G,20240707,12460187,,R16,146,69208,7,,Jasmine Paolini,R,163.0,ITA,28,35424,12,,Madison Keys,R,178.0,USA,29,,6,6,5,0,0,2,2,102,73,44,13,16,2,8,3,7,5,0,0,6,3,117,82,45,15,15,6,13,7,,13,
2600,Wimbledon,Grass,,G,20240707,12457907,3,R16,326,50641,,,Donna Vekic,R,179.0,HRV,28,69050,,,Paula Badosa,R,180.0,ESP,26,,6,1,6,0,0,4,5,94,64,34,12,12,2,5,2,6,4,0,0,6,4,68,38,28,12,12,0,4,37,,93,
