player,last_date,match_number,matches_played,elo_rating,sets_elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Marty Riessen,1981-02-23,285,828,1937.6925819431485,1500,1500,1500,1742.5093273613215,1922.7232792185694,1845.8057729094273,1500,1500,1500,1500,1500,1500,1500
Alfred Schwartz,1971-04-05,259,9,1619.4258584835056,1500,1500,1500,1587.4359179976655,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Jan Leschly,1972-04-08,254,94,1897.080610930335,1500,1500,1500,1787.4912336432567,1784.6925896725295,1735.1098134034833,1500,1500,1500,1500,1500,1500,1500
Jose Edison Mandarino,1977-10-10,28,215,1623.6164005025494,1500,1500,1500,1629.8695592417287,1652.9281280091134,1214.7623327638478,1500,1500,1500,1500,1500,1500,1500
Wilhelm Bungert,1973-07-09,2,105,1855.6362866065547,1500,1500,1500,1719.328652616201,1727.613058058048,1707.614428446698,1500,1500,1500,1500,1500,1500,1500
Thomaz Koch,1983-11-21,20,394,1740.4080606855234,1500,1500,1500,1634.4906229814317,1752.0524239230026,1682.538787808719,1500,1500,1500,1500,1500,1500,1500
Bob Hewitt,1980-04-08,5,453,1794.342611544472,1500,1500,1500,1696.1249210472126,1798.541974064819,1786.9545440847119,1500,1500,1500,1500,1500,1500,1500
Raymond Moore,1982-07-19,15,737,1760.4063071076644,1500,1500,1500,1742.8330706712968,1738.1916481649682,1626.1134562202772,1500,1500,1500,1500,1500,1500,1500
Jackie Saul,1972-04-08,278,28,1739.5990312323986,1500,1500,1500,1688.6991094748687,1500.0,1623.8681868964532,1500,1500,1500,1500,1500,1500,1500
Kerneels Kasch,1968-01-08,283,2,1519.4721696323159,1500,1500,1500,1523.515819000832,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Clark Graebner,1976-02-14,35,493,1735.1436970667187,1500,1500,1500,1763.6272904682676,1819.9117009929962,1900.146929429151,1500,1500,1500,1500,1500,1500,1500
Sidney Gordon,1972-04-08,213,11,1486.2703907223333,1500,1500,1500,1393.7565159792634,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Clive Brebnor,1974-06-10,252,18,1609.4512593864547,1500,1500,1500,1588.3621730740751,1500.0,1439.8808204695263,1500,1500,1500,1500,1500,1500,1500
Jacobus Coetzer,1968-01-08,266,1,1575.6,1500,1500,1500,1575.6,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Mark Cox,1981-10-26,1,689,1858.4252675948785,1500,1500,1500,1774.0930996007307,1732.9484747759445,1859.6706064470573,1500,1500,1500,1500,1500,1500,1500
Jannie De Villiers,1968-01-14,273,4,1556.5802755615855,1500,1500,1500,1555.9172500485854,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Graydon Garner,1975-11-17,266,30,1516.261549588507,1500,1500,1500,1447.6565871125,1473.1710729629,1613.1045151498192,1500,1500,1500,1500,1500,1500,1500
Julian Krinsky,1972-04-08,260,24,1615.6110936019522,1500,1500,1500,1647.1204936911674,1368.2535501138293,1423.2453316246283,1500,1500,1500,1500,1500,1500,1500
Tom Okker,1981-11-02,27,944,1887.7990312178026,1500,1500,1500,1853.6283902008956,1875.8333782819798,2038.6474029422843,1500,1500,1500,1500,1500,1500,1500
Robert Maud,1975-11-17,264,243,1734.9812641888054,1500,1500,1500,1303.1898610735786,1718.9346202613133,1741.0338466774062,1500,1500,1500,1500,1500,1500,1500
Frank McDonald,1972-08-01,253,13,1121.6188200915226,1500,1500,1500,1201.2352407262695,1424.4,1374.3990365107086,1500,1500,1500,1500,1500,1500,1500
Frew Mcmillan,1981-07-06,11,441,1764.5042476615502,1500,1500,1500,1572.906514520016,1729.5943129388343,1751.3709177983708,1500,1500,1500,1500,1500,1500,1500
Andrew Pattison,1983-02-28,8,547,1818.9428347438875,1500,1500,1500,1742.7567260989265,1801.599967539135,1748.7474794011478,1500,1500,1500,1500,1500,1500,1500
Hans Joachim Ploetz,1976-11-22,277,163,1669.1350885176175,1500,1500,1500,1364.9377032796442,1676.083779795754,1442.7433049621418,1500,1500,1500,1500,1500,1500,1500
Hans Jurgen Pohmann,1979-06-18,7,253,1847.8607225108865,1500,1500,1500,1750.8006912195917,1795.5099422757316,1368.1810206161956,1500,1500,1500,1500,1500,1500,1500
Quentin Pretorius,1972-07-10,285,16,1147.3335992696116,1500,1500,1500,1274.6658640072542,1395.3745563104883,1372.7993212667511,1500,1500,1500,1500,1500,1500,1500
Terry Rosenberg,1968-04-01,246,5,1555.685629816636,1500,1500,1500,1552.9450364983225,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
George Rudman,1981-04-06,3,17,1595.686115685654,1500,1500,1500,1534.342252328965,1500.0,1500.0,1500,1500,1500,1500,1500,1500,1500
Mel Baleson,1970-08-02,260,17,1398.0000228300257,1500,1500,1500,1122.633075723425,1581.40552288281,1488.0867363384973,1500,1500,1500,1500,1500,1500,1500
Torben Ulrich,1977-09-16,2,209,1336.3257676065061,1500,1500,1500,1476.6817047146214,1176.777324187295,1635.7735967660067,1500,1500,1500,1500,1500,1500,1500
Francois Van Der Merwe,1974-06-10,242,14,1639.8009639602863,1500,1500,1500,1473.5148124010375,1500.0,1632.2278483972923,1500,1500,1500,1500,1500,1500,1500
Arthur Ashe,1979-07-23,16,1066,2158.371720766045,1500,1500,1500,1994.4535339823822,2001.0023386520681,1974.5942118348587,1500,1500,1500,1500,1500,1500,1500
