player,last_date,match_number,matches_played,elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Novak Djokovic,2024-06-04,12477653,1237,2444.0202111144436,1500,1500,2449.718821713175,2245.719852551907,2235.2008660895403,1500,1500,2523.284429065902,2343.59463237095,1844.7859444000503,1851.7188889123772,1949.5914394526837
Jannik Sinner,2024-06-22,12418470,294,2403.5018583018586,1500,1500,2330.92935964916,2021.2885627298913,1881.1839372824484,1500,1500,2287.9274516661562,2033.6446589710201,1933.8251121549208,1861.2984900399756,2061.636397512907
Carlos Alcaraz,2024-06-30,12477666,223,2350.049171365405,1500,1500,2200.9156859529953,2152.38185489342,1924.837261703808,1500,1500,2323.3573975040745,2019.487400530112,1867.8774503205282,1893.6629250411247,2024.127095810251
Roger Federer,2021-06-28,188,1437,2334.7858443527857,1500,1500,2305.349364230591,2175.8107013494255,2165.4470502294434,1500,1500,2409.1363347190695,2301.8301194352316,1876.708949032531,1811.0253698462445,1850.0145640721223
Rafael Nadal,2024-05-26,12361919,1240,2277.130198296834,1500,1500,2203.299542733564,2349.3519786192305,2043.3599828127476,1500,1500,2361.8888883269296,2278.90770980321,1808.4400357443596,1798.7701055222005,1800.7560022984637
Robin Soderling,2011-07-11,21,447,2254.098304020365,1500,1500,2130.6322041057692,2088.0077047217997,1850.0001721128,1500,1500,2209.3782006237698,1981.6586187889484,1857.7463671766131,1874.2030369455986,1815.805667825784
Daniil Medvedev,2024-06-30,12477671,490,2251.013885061366,1500,1500,2258.5975204795054,1939.713546430497,1866.3136497959779,1500,1500,2271.615433039009,2040.7882643744354,1831.881814445892,1837.4137316953168,1948.536298836731
Juan Martin del Potro,2022-02-07,278,572,2250.0959648893704,1500,1500,2228.9655686415103,2030.6290118638312,1911.3966215587564,1500,1500,2243.734406194077,2042.2648142192554,1834.6846859106595,1813.8863500032464,1798.4777470605748
Alexander Zverev,2024-06-21,12418473,593,2244.2850380328236,1500,1500,2137.307650493736,2147.461823014775,1845.0314705945968,1500,1500,2154.976906015948,1978.0565342846464,1892.7316788320052,1813.6278390149523,1978.557654472478
Grigor Dimitrov,2024-06-30,12477682,695,2174.0328819427477,1500,1500,2112.089376680717,1937.7239031521374,1799.3670953549772,1500,1500,2095.414882369413,1923.5335359082897,1876.8540973393121,1842.041728392845,1961.657159091263
Nick Kyrgios,2023-06-12,273,293,2172.764454357219,1500,1500,2104.2941712414804,1861.768807842447,1903.7149382385585,1500,1500,2137.445554289223,1893.5720224629347,1886.8913258457096,1779.611276158337,1851.6223825394745
Patrick Rafter,2001-11-12,9,508,2164.629813392225,1500,1500,2076.383486319725,1839.445419763602,1974.6146460082578,1500,1500,2160.7493546807855,1984.4305679960778,1848.313406236305,1832.851868042267,1846.8426684932617
Stefanos Tsitsipas,2024-06-20,12418471,456,2154.0392876516526,1500,1500,2047.2412627815834,2128.584140994276,1790.599998307583,1500,1500,2139.3551496733457,1988.1277984632723,1892.0393939742366,1792.6441635452363,1944.384292850419
Alex De Minaur,2024-06-17,12429010,363,2152.5399909668845,1500,1500,2049.285523686313,1895.9841139329412,1847.8287817068278,1500,1500,2041.8168466567029,1890.0769567422888,1815.9702814078935,1906.2403900358404,1942.317477581291
Andre Agassi,2006-08-28,105,830,2146.1761585039285,1500,1500,2145.0542311199733,1952.0163337895185,1886.6407681020166,1500,1500,2151.770958193992,2074.088565306806,1800.518077457422,1762.0345907448175,1832.6344084808125
Pete Sampras,2002-08-26,86,782,2144.7669924649726,1500,1500,2159.3155575943006,1840.347019128043,2065.8495171316004,1500,1500,2164.580023698552,2064.3413320336463,1959.8468919534919,1812.312130394718,1883.4038349936
Casper Ruud,2024-06-30,12477734,349,2143.7273312199613,1500,1500,1962.6279323986091,2102.699111950327,1690.3533784420754,1500,1500,2079.7105714879053,1920.0413241166982,1856.9870105660373,1847.28774995532,1994.7956769691184
Hubert Hurkacz,2024-06-22,12418470,325,2139.017270780466,1500,1500,2057.644034008866,1924.9189160486392,1861.2197568069114,1500,1500,2082.850237669722,1892.3261800623504,1918.248233302096,1785.3917563636915,1980.1477775598687
Taylor Fritz,2024-06-28,12432679,427,2117.562612008575,1500,1500,2079.884572776183,1922.1465993145891,1835.3662951085462,1500,1500,2117.2759516451138,1918.266039558085,1909.968017040918,1770.5471154752374,1948.2917995011148
Matteo Berrettini,2024-06-30,12477683,247,2103.1140272971024,1500,1500,1943.804639952705,1985.505023401225,1971.5331999946436,1500,1500,2097.357917283179,1874.810104680385,1888.311130206241,1788.074692861895,1903.3153945974072
Andrey Rublev,2024-06-17,12428874,470,2101.529170405895,1500,1500,2081.9762009856086,2004.8156303692547,1811.1322376527162,1500,1500,2113.361171260016,1940.6081491644675,1847.4366832506335,1773.9930750233104,1869.1563761262194
Boris Becker,1999-06-21,58,414,2089.341620500997,1500,1500,1977.0651478027048,1910.0652554757473,1931.52171985713,1500,1500,2096.765703132493,1924.635324455951,1826.1967913377325,1815.0687689913245,1836.1285940446721
Andy Roddick,2012-08-27,53,750,2087.468254854592,1500,1500,2071.4321916971226,1812.3954762050987,1977.3339865708406,1500,1500,2075.3517284582267,1988.663526964349,1871.88658090977,1753.2496451383981,1820.6040129441408
Milos Raonic,2024-06-19,12418607,535,2072.4669743910486,1500,1500,2040.1222646886015,1968.4462146675396,1918.1992927974857,1500,1500,2118.5178304556925,1961.0612864625807,1868.7299545505123,1739.4576259350677,1806.2118638106472
Tommy Paul,2024-06-22,12418618,263,2071.832565685181,1500,1500,1985.842868879488,1814.451747299117,1826.9972364174482,1500,1500,1991.7082592897082,1846.8608609672463,1850.0776172529693,1880.2223894068788,1970.7353254154998
Mardy Fish,2015-08-31,11,477,2051.9442149385122,1500,1500,1987.5375270100437,1768.2416194662574,1860.4636683372105,1500,1500,2051.022849975542,1871.4549703628318,1794.4055130507136,1839.7720971726924,1748.2166368798596
Mario Ancic,2010-05-02,10,309,2049.288700139861,1500,1500,1964.3851194004585,1871.0704154682712,1896.0471029053642,1500,1500,1963.1920620962478,1829.3576110079491,1776.6636999202642,1744.8290207662083,1797.212538412458
Holger Rune,2024-06-16,12429006,178,2044.4369989357258,1500,1500,1960.2834872824974,1947.421432250859,1749.8675072656247,1500,1500,2022.70969274418,1782.3035222677483,1845.2049063773688,1801.4810951126497,1886.6619138455635
Karen Khachanov,2024-06-17,12429003,438,2039.8792538906237,1500,1500,1979.4775528200714,1943.8038248138475,1790.6980267876645,1500,1500,2003.3250682283435,1838.4968641595663,1856.099801481425,1784.5989376395717,1881.16623754
