Player,Matches,Win Rate,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
winner_name,56,1.0,0,0,0,0
Tom Okker,947,0.706441393875396,0.13412430082732185,0.6900826446280992,0.7333333333333333,0.7569444444444444
Armistead Neely,68,0.3382352941176471,0,0.26666666666666666,0.34615384615384615,0.42105263157894735
Herb Fitzgibbon,83,0.5421686746987951,0,0.47368421052631576,0.7,0.5
Tom Edlefsen,249,0.42168674698795183,0,0.42574257425742573,0.46551724137931033,0.46875
Mark Cox,694,0.5994236311239193,0.009287925696594423,0.5970873786407767,0.5833333333333334,0.6203703703703703
John Bartlett,143,0.3006993006993007,0,0.2,0.2222222222222222,0.40350877192982454
Rod Laver,720,0.7986111111111112,0.122626582278481,0.815,0.75,0.8476190476190476
Thomaz Koch,395,0.5670886075949367,0.07740825688073388,0.5445544554455446,0.5785714285714286,0.43902439024390244
Roy Emerson,435,0.6229885057471264,0.24246156142707864,0.5636363636363636,0.6568627450980392,0.6891891891891891
Andres Gimeno,376,0.6569148936170213,0.07530266343825665,0.6346153846153846,0.6842105263157895,0.696969696969697
Guillermo Vilas,1225,0.76,0.04931653712141515,0.6923076923076923,0.7941888619854721,0.71875
Patricio Rodriguez Chi,94,0.3723404255319149,0,0.5,0.3815789473684211,0.0
Jaime Pinto Bravo,220,0.4090909090909091,0.15172413793103445,0.32,0.43448275862068964,0.3181818181818182
Julian Ganzabal,135,0.4444444444444444,0,0.38461538461538464,0.46226415094339623,0.4
Patricio Cornejo,376,0.4228723404255319,0.133264320220842,0.3018867924528302,0.4520547945205479,0.4074074074074074
Jose Edison Mandarino,215,0.4697674418604651,0,0.43333333333333335,0.515625,0.3
Jan Kodes,784,0.6403061224489796,0.16798210622293136,0.5539568345323741,0.6995515695067265,0.6615384615384615
Fred Stolle,340,0.5088235294117647,0.15121236344257927,0.4222222222222222,0.5287356321839081,0.6986301369863014
Torben Ulrich,212,0.37735849056603776,0,0.40350877192982454,0.2391304347826087,0.5348837209302325
Roger Taylor,670,0.5582089552238806,0.11502322447966523,0.547945205479452,0.5705521472392638,0.5949367088607594
Dennis Ralston,282,0.549645390070922,0.1202209005947324,0.4666666666666667,0.5588235294117647,0.6811594202898551
Nikola Pilic,549,0.5591985428051002,0.10828247602441149,0.5106382978723404,0.5621621621621622,0.6363636363636364
John Newcombe,785,0.7159235668789808,0.10467703535589523,0.7093596059113301,0.7085714285714285,0.7804878048780488
Boro Jovanovic,161,0.453416149068323,0,0.4166666666666667,0.5046728971962616,0.0
Cliff Drysdale,648,0.6157407407407407,-0.009636363636363665,0.6243093922651933,0.6778523489932886,0.6551724137931034
Pierre Barthes,372,0.49731182795698925,0.12277164685908315,0.4264705882352941,0.553030303030303,0.5238095238095238
Mal Anderson,136,0.6470588235294118,0,0.6486486486486487,0.3333333333333333,0.6764705882352942
Istvan Gulyas,135,0.5185185185185185,0,0.5,0.5698924731182796,0.0
Robert Wilson,51,0.5294117647058824,0,0.42857142857142855,0.5384615384615384,0.5925925925925926
Richard Gonzalez,240,0.6375,0.266304347826087,0.6923076923076923,0.5714285714285714,0.6607142857142857
David Lloyd,105,0.3142857142857143,0,0.125,0.2647058823529412,0.38095238095238093
Owen Davidson,193,0.43523316062176165,0,0.34146341463414637,0.375,0.6
Ken Rosewall,732,0.7363387978142076,0.15925925925925932,0.7323943661971831,0.782312925170068,0.7790697674418605
Cliff Richey,702,0.688034188034188,0.07542608243920956,0.7130434782608696,0.719626168224299,0.696969696969697
Arthur Ashe,1066,0.7551594746716698,0.15941185570427774,0.7697841726618705,0.7091633466135459,0.7804878048780488
Charlie Pasarell,566,0.5176678445229682,0.1688446688446688,0.4973544973544973,0.48695652173913045,0.6422018348623854
Jan Leschly,99,0.6363636363636364,0,0.6904761904761905,0.5,0.6111111111111112
Manuel Santana,180,0.7333333333333333,0,0.5882352941176471,0.8018867924528302,0.6428571428571429
Peter Szoke,158,0.4240506329113924,0,0.3076923076923077,0.45454545454545453,0.0
Jean Loup Rouyer,134,0.47761194029850745,0,0.375,0.5375,0.4
Hans Jurgen Pohmann,254,0.5,0,0.5555555555555556,0.5192307692307693,0.25
Ivan Molina,370,0.45135135135135135,0.09727463312368972,0.2571428571428571,0.4943820224719101,0.2631578947368421
Alex Metreveli,389,0.7377892030848329,0.055384615384615365,0.7222222222222222,0.6526315789473685,0.8148148148148148
Thomas Lejus,53,0.5283018867924528,0,0,0.4,0.47368421052631576
Teimuraz Kakulia,98,0.47959183673469385,0,0.375,0.4166666666666667,0.53125
Patrick Hombergen,103,0.42718446601941745,0,0.6666666666666666,0.43103448275862066,0.3
Milan Holecek,273,0.42857142857142855,0,0.44047619047619047,0.4426229508196721,0.5
Georges Goven,437,0.4645308924485126,-0.014854498965055418,0.4861111111111111,0.44776119402985076,0.44
Wieslaw Gasiorek,54,0.5185185185185185,0,0,0.5588235294117647,0.0
Daniel Contet,56,0.39285714285714285,0,0.5,0.35,0.2857142857142857
Bob Carmichael,466,0.45278969957081544,0.16330680813439435,0.48201438848920863,0.4689655172413793,0.494949494949495
Gerald Battrick,386,0.4792746113989637,0.1127103049421661,0.5462962962962963,0.45454545454545453,0.4583333333333333
Jean Claude Barclay,60,0.3,0,0.42857142857142855,0.3111111111111111,0.14285714285714285
Szabolcz Baranyi,145,0.4482758620689655,0,0.34782608695652173,0.4430379746835443,0.5263157894736842
Nicola Pietrangeli,96,0.59375,0,0.625,0.6666666666666666,0.2857142857142857
Manuel Orantes,1014,0.7209072978303748,0.08321377331420365,0.5825242718446602,0.7786998616874136,0.5660377358490566
John Alexander,1018,0.574656188605108,0.1273155584109648,0.5694444444444444,0.6205882352941177,0.5956521739130435
Marty Riessen,829,0.6272617611580217,0.025159598723210275,0.5991379310344828,0.6740331491712708,0.640625
Jan Kukal,140,0.42857142857142855,0,0.43243243243243246,0.3880597014925373,0.45454545454545453
Harald Elschenbroich,226,0.5221238938053098,0,0.47058823529411764,0.5480225988700564,0.375
Frew Mcmillan,446,0.4439461883408072,0.13772168841722837,0.4338235294117647,0.40707964601769914,0.5211267605633803
Dick Crealy,645,0.517829457364341,0.09517304189435333,0.48148148148148145,0.5451263537906137,0.5508982035928144
Jurgen Fassbender,355,0.532394366197183,0.04513699046230485,0.5070422535211268,0.5207100591715976,0.5172413793103449
Ingo Buding,108,0.4537037037037037,0,0.3333333333333333,0.5370370370370371,0.25
Robert Maud,248,0.4717741935483871,0.1513865308432371,0.45714285714285713,0.5217391304347826,0.5227272727272727
Wilhelm Bungert,107,0.6915887850467289,0,0.6923076923076923,0.6428571428571429,0.42857142857142855
Tony Roche,542,0.6642066420664207,0.06964285714285712,0.6379310344827587,0.7011494252873564,0.7941176470588235
Adriano Panatta,653,0.6186830015313936,0.19154856273520704,0.5194805194805194,0.6894865525672371,0.5172413793103449
Phil Dent,755,0.5403973509933775,0.15938270555224898,0.5153374233128835,0.5311004784688995,0.6379310344827587
Bob Hewitt,457,0.6389496717724289,0.0994783496881042,0.6126126126126126,0.6470588235294118,0.6904761904761905
Brian Fairlie,467,0.5160599571734475,0.20799619228938598,0.5094339622641509,0.5240963855421686,0.5684210526315789
Jean Baptiste Chanfreau,187,0.3155080213903743,0,0.3611111111111111,0.2318840579710145,0.40816326530612246
Bill Bowrey,233,0.5107296137339056,0,0.43243243243243246,0.5,0.6224489795918368
Juan Gisbert,380,0.5868421052631579,0.16398282340311326,0.5405405405405406,0.5944700460829493,0.6153846153846154
Ezio Di Matteo,85,0.43529411764705883,0,0.25,0.4406779661016949,0.5555555555555556
Massimo Di Domenico,68,0.3235294117647059,0,0,0.3269230769230769,0.36363636363636365
