Player,Matches,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Yevgeny Kafelnikov,783,-0.3689458689458689,0.015227885047148781,-0.1429894476874719,0.05629770992366412
Henrik Holm,42,0,-0.11578947368421044,0,0.10526315789473673
Mark Woodforde,250,0.8523489932885906,-0.005993709572132189,-0.17600527356624907,0.16144018583042974
Jim Courier,284,-0.42040816326530617,0.06471981057616416,-0.11912377629155768,-0.2567606862460018
Daniel Vacek,302,0,0.06167135395741252,-0.26648160999306036,-0.09432933478735006
Thomas Enqvist,618,-0.41726618705035967,0.0546508758943991,-0.1606217616580311,-0.1789557592666402
Jason Stoltenberg,284,0,-0.07776653171390024,0.19704952581664892,0.07575757575757569
Patrick Rafter,444,-0.3645569620253165,0.021085271317829557,-0.21066666666666667,0.12761904761904752
Richard Fromberg,257,0,0.020406278855032323,0.07746388028895779,-0.20433436532507732
Richard Krajicek,396,-0.36388888888888893,-0.009565598946906673,-0.11872278664731495,0.0846013390139988
Renzo Furlan,220,0,0.03468547912992337,-0.06878306878306883,-0.10204081632653073
Arnaud Boetsch,182,0,0.06666666666666665,-0.04166666666666663,-0.33333333333333337
Carl Uwe Steeb,55,0,-0.17293233082706772,-0.3107769423558898,0
Hendrik Dreekmann,169,0,0.15406395736175882,-0.14430379746835442,-0.19778481012658233
Stefan Edberg,132,0,-0.014925373134328401,0.05249169435215961,0.023255813953488413
Adrian Voinea,293,0,-0.03155048076923084,0.08689298561151082,-0.3267463235294118
Younes El Aynaoui,384,0,-0.0886806056236481,0.09473073856635494,-0.0771449170872387
Karim Alami,290,0,-0.24158221641059163,0.174958120690327,-0.27318295739348375
Javier Sanchez,233,0,0.04103468547912992,0.024175824175824312,-0.4452380952380952
Karsten Braasch,43,0,0.33910034602076133,-0.41628959276018096,-0.051470588235294046
Filip Dewulf,186,0,-0.23108722612649857,0.16249999999999987,-0.3195121951219513
Shuzo Matsuoka,79,0,-0.05514950166112942,-0.24761904761904763,0.2696428571428573
Jonas Bjorkman,690,-0.5126984126984127,-0.006559693208194606,-0.3460490463215259,0.22615803814713908
Magnus Larsson,285,-0.4621513944223108,0.037778789258079426,-0.06311637080867838,-0.06957763721689447
Guy Forget,96,0.8524590163934427,0.03896103896103886,-0.18181818181818177,0.1748251748251748
Jan Siemerink,344,0.855,0.013462614208465284,-0.1793742545187632,0.015373262821301026
Oliver Gross,99,0,-0.07380457380457384,0.118192819685357,-1.0
Michael Stich,133,0,-0.05234310770073991,-0.017977528089887618,0.08682328907048009
Alex Obrien,145,0,0.024456521739130377,-0.3287037037037036,0.20833333333333326
Vincent Spadea,621,-0.5914742451154529,0.06374999999999997,-0.08020104895104896,-0.14434523809523814
Jakob Hlasek,116,0,-0.037011414735385606,0.05867014341590626,-0.016949152542372836
Marc Kevin Goellner,220,0,-0.2114695340501792,0.11827956989247301,-0.032258064516129004
Brett Steven,180,0,-0.07082833133253297,-0.14723032069970832,0.3533834586466167
Christian Ruud,235,0,-0.15759825886570222,0.1414781111657648,-1.0
Cedric Pioline,436,-0.49242424242424243,-0.04403998491135408,0.045902489626556076,0.058169576450324945
Alexander Volkov,115,0.8732394366197183,-0.09591194968553451,-0.24056603773584906,0.08490566037735858
