Player,lw,lm,wins,Matches,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
John Millman,22,22,116,254,0,0.051529320085719865,-0.1431784107946027,-0.08175750834260287
James Duckworth,7,7,49,125,0,0.03635204081632648,-0.23469387755102045,-0.06015037593984973
Jeremy Chardy,18,18,133,277,0,0.041353383458646586,-0.03484320557491283,-0.12660683967984476
Martin Klizan,12,92,83,163,0.8695652173913043,-0.10088546958920008,0.16280913126188978,-1.0
Alexandr Dolgopolov,12,12,72,134,0,-0.0467479674796748,0.03395061728395077,0.16319444444444442
Sam Groth,7,7,23,65,0,-0.10079051383399218,-0.4347826086956522,0.4130434782608694
Mikhail Kukushkin,11,11,95,229,0,0.07307300509337855,-0.2663615560640732,0.03308270676691727
Thanasi Kokkinakis,3,3,59,130,0,0.05849119308740458,-0.22233300099700892,-0.19876733436055471
Bernard Tomic,17,17,96,181,0,0.10407282282282293,-0.4798850574712643,0.05767276422764245
Steve Johnson,27,27,167,332,0,-0.03385751860764463,0.02607687850106233,0.10051325919589393
Roger Federer,29,29,250,298,0,0.011958333333333293,-0.09794594594594586,0.019246376811594246
Grigor Dimitrov,36,36,269,443,-0.4285714285714286,0.03258465915203379,-0.05894848645778017,-0.1281434506888256
Milos Raonic,23,23,200,289,0,-0.024624999999999897,0.022073170731707448,0.08374999999999999
Kei Nishikori,34,34,240,340,-0.326797385620915,-0.013629283489096644,-0.0025510204081633514,0.11309523809523792
Borna Coric,30,30,197,358,-0.49386503067484666,-0.01598208941990109,0.06997485649224333,-0.1739732348869405
Elias Ymer,4,4,37,102,0,0.12139257901969769,-0.12590639419907712,-1.0
Gilles Muller,14,99,108,193,0.8585858585858586,-0.03442353643966556,-0.2689393939393939,0.21670606776989754
Ricardas Berankis,14,14,79,183,0,0.12416232315711095,-0.39943741209564,-0.39040639573617586
Jiri Vesely,21,155,127,261,0.864516129032258,-0.09574803149606304,0.027559055118110187,0.25590551181102383
Yen Hsun Lu,5,5,36,87,0,0.08574879227053134,-0.5972222222222223,-0.19444444444444453
