Player,Matches,Hand Preference,Hard +/- %,Clay +/- %,Grass +/- %
Arantxa Sanchez Vicario,496,0.0012218714998472047,-0.050031269543464596,0.10049802068701319,0.17195121951219527
Tami Whitlinger Jones,73,0,-0.07233626588465292,-0.003722084367245637,0.009216589861751112
Christina Singer,55,0,-0.08026755852842793,-0.5217391304347825,0.5473145780051152
Zina Garrison,51,0,-0.23717948717948711,-0.6730769230769231,0.604895104895105
Meike Babel,69,0,-0.04608294930875578,0.08282476024411523,-0.25806451612903225
Chanda Rubin,456,0.043054305430543005,-0.006324740898219661,-0.019718309859155014,0.08205756276791165
Karina Habsudova,263,0,0.02619843924191745,0.14347826086956506,-0.43947144075021316
Mary Joe Fernandez,193,0,0.018188976377952804,0.06377952755905514,0.08548931383577063
Linda Wild,90,0,0.055347091932457904,-0.4512195121951219,-0.4512195121951219
Ruxandra Dragomir Ilie,326,0.023636363636363678,-0.0709603875748076,0.1519881950916433,0.08090185676392547
Amanda Coetzer,548,-0.09811990335246146,-0.030088495575221308,0.12961580836620823,-0.19174041297935107
Naoko Sawamatsu,151,0,0.017842981760507692,-0.2256410256410255,0.032478632478632585
Laurence Courtois,147,0,-0.06010230179028142,0.0808823529411764,0.023993808049535437
Kimiko Date Krumm,269,0,-0.015655651124188985,-0.07335359675785214,0.09843111970771545
Jana Novotna,286,0,-0.05375209781826895,-0.029289754871150264,0.163953488372093
Helena Sukova,106,0,-0.24898785425101222,-0.03441295546558709,0.19909502262443435
Lisa Raymond,523,-0.11844499586435075,0.008622405812969802,-0.16107198748043816,0.04520365435858409
Angelica Gavaldon,63,0,0.11348837209302332,-0.22461538461538455,0.008000000000000007
Joannette Kruger,259,0,0.12203412423353766,-0.014759586122945811,-0.6202346041055719
Lori Mcneil,84,0,-0.1333333333333333,-0.5333333333333332,0.3787878787878789
Barbara Paulus,164,0,-0.07169811320754726,0.0811548079108888,-0.38113207547169814
Sabine Appelmans,284,0,-0.0042657628703325345,-0.04665174728869015,0.10869118553523727
Radka Bobkova,60,0,-0.09774436090225569,0.1278195488721805,-1.0
Elena Makarova,107,0,-0.08285714285714285,-0.02304347826086961,-0.1975
Radomira Zrubakova,57,0,-0.41836734693877553,0.029556650246305383,0.5079365079365081
