Player,Latest_Up,Matches,Wins,Losses,Aces,DoubleFs,Servept,Firstin,Firstwon,Secondwon,w_SvGms,w_bpSaved,w_bpFaced,vaces,vdfs,retpt,vfirstin,vfirstwon,vsecondwon,avg_ork
Felix Auger Aliassime,2023-10-30 00:00:00,128,82,46,1249,471,9569,6038,4664,1760,1528,408,630,548,335,9890,6305,4418,1880,1305
Denis Shapovalov,2023-07-03 00:00:00,86,47,39,722,533,7183,4312,3275,1487,1157,328,518,336,237,7389,4745,3401,1377,1740
Roberto Bautista Agut,2023-11-06 00:00:00,95,54,41,300,153,7083,4686,3306,1309,1133,322,530,771,241,7422,4596,3247,1330,2233
Pablo Carreno Busta,2022-11-23 00:00:00,60,36,24,238,109,4686,3119,2205,880,755,230,359,420,205,4955,3096,2171,890,1092
Daniil Medvedev,2023-11-13 00:00:00,145,109,36,1158,593,11207,7196,5453,1999,1762,522,781,486,338,11407,7276,4898,1904,518
Casper Ruud,2023-10-30 00:00:00,132,87,45,738,312,10651,6853,5013,2074,1706,490,755,791,358,10731,6788,4773,1945,776
Filip Krajinovic,2023-05-29 00:00:00,51,22,29,207,96,4129,2658,1781,762,633,230,392,471,136,3903,2386,1767,766,2652
Alejandro Tabilo,2022-03-04 00:00:00,31,16,15,175,100,2228,1417,975,380,349,121,216,156,104,2210,1390,921,396,3209
Jannik Sinner,2023-11-25 00:00:00,136,109,27,849,308,10859,6432,4845,2431,1748,495,744,741,379,11364,7103,4798,1983,1370
Ugo Humbert,2023-02-03 00:00:00,84,41,43,525,217,6988,4307,3087,1370,1092,331,553,455,259,6955,4381,3139,1306,4602
Roman Safiullin,2023-10-30 00:00:00,53,28,25,346,183,4256,2693,1984,811,670,204,321,379,160,4252,2669,1918,776,5090
Matteo Berrettini,2023-08-28 00:00:00,63,43,20,699,121,5139,3308,2613,938,835,209,301,330,175,5291,3375,2423,1059,1013
Alex De Minaur,2023-11-24 00:00:00,142,91,51,485,332,10480,6081,4298,2326,1640,535,883,588,359,10831,6734,4486,1961,3099
Arthur Rinderknech,2023-10-16 00:00:00,74,34,40,698,176,5888,3773,2843,1031,926,278,428,480,203,5740,3575,2696,1188,4757
