tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2644.0,Brisbane,Hardcourt outdoor,,A,20240101,11929220.0,3,R64,70.0,66476.0,,WC,Naomi Osaka,R,180.0,JPN,26,69988.0,,,Tamara Korpatsch,R,170.0,DEU,29,,6.0,7.0,0.0,0.0,0.0,5.0,1,62,45,33,7,10,0,2,3.0,6.0,0.0,0.0,0.0,1.0,5,85,58,34,10,11,4,8,113.0,,73,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11931029.0,3,R32,58.0,258756.0,,WC,Emma Raducanu,R,175.0,GBR,21,103901.0,,Q,Gabriela Ruse,R,173.0,ROU,26,,6.0,4.0,7.0,0.0,0.0,3.0,6,93,60,38,16,16,1,6,3.0,6.0,5.0,0.0,0.0,2.0,2,95,63,37,15,15,7,13,135.0,,152,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929300.0,3,R32,30.0,190996.0,,,Yue Yuan,R,178.0,CHN,25,137962.0,,,Kayla Day,L,173.0,USA,24,,7.0,6.0,6.0,0.0,0.0,1.0,0,109,76,52,21,16,5,8,6.0,7.0,1.0,0.0,0.0,8.0,2,118,75,46,21,15,6,11,39.0,,128,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929307.0,3,R32,43.0,51293.0,2,,Elina Svitolina,R,174.0,UKR,29,18910.0,,WC,Caroline Wozniacki,R,177.0,DNK,34,,6.0,6.0,0.0,0.0,0.0,5.0,1,75,44,25,17,10,6,9,4.0,3.0,0.0,0.0,0.0,1.0,3,66,36,20,13,9,5,10,21.0,,91,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929297.0,3,R32,35.0,264983.0,1,,Cori Gauff,R,175.0,USA,20,179300.0,,,Claire Liu,R,170.0,USA,24,,6.0,6.0,0.0,0.0,0.0,3.0,4,49,32,23,9,9,0,2,4.0,2.0,0.0,0.0,0.0,1.0,5,63,47,28,3,9,3,8,2.0,,114,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11931028.0,3,R32,43.0,215755.0,8,,Varvara Gracheva,R,178.0,FRA,23,48318.0,,Q,Tereza Martincova,R,177.0,CZE,29,,6.0,7.0,6.0,0.0,0.0,4.0,11,113,74,49,15,16,8,13,7.0,5.0,2.0,0.0,0.0,2.0,8,125,91,52,12,16,12,20,70.0,,219,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11931026.0,3,R32,46.0,337408.0,,Q,Brenda Fruhvirtova,R,,CZE,17,189995.0,,,Anna Blinkova,R,179.0,RUS,25,,7.0,6.0,0.0,0.0,0.0,1.0,6,64,44,30,8,11,2,5,5.0,4.0,0.0,0.0,0.0,2.0,4,75,54,30,9,11,7,12,88.0,,60,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929301.0,3,R32,58.0,19704.0,7,,Petra Martic,R,181.0,HRV,33,124804.0,,,Rebeka Masarova,R,186.0,ESP,24,,3.0,6.0,6.0,0.0,0.0,5.0,2,78,50,30,20,13,4,6,6.0,3.0,3.0,0.0,0.0,4.0,4,95,60,38,16,14,8,12,85.0,,109,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11931027.0,3,R32,38.0,195182.0,,Q,Sun Sun,L,,NZL,23,233214.0,,Q,Mccartney Kessler,U,,USA,25,,6.0,6.0,0.0,0.0,0.0,2.0,2,46,26,21,18,9,2,4,4.0,3.0,0.0,0.0,0.0,1.0,4,63,39,23,7,10,3,8,123.0,,119,
2554.0,Auckland,Hardcourt outdoor,,A,20240101,11929306.0,3,R32,53.0,230628.0,,WC,Amanda Anisimova,R,180.0,USA,22,19546.0,,,Anastasia Pavlyuchenkova,R,176.0,RUS,33,,7.0,6.0,0.0,0.0,0.0,6.0,4,94,58,35,13,11,8,13,5.0,4.0,0.0,0.0,0.0,1.0,2,74,41,22,11,11,7,14,189.0,,28,
