tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,loser_rank
2023-9900,United Cup,Hard,18,A,20230102,300,3,F,135,126203,3,,Taylor Fritz,R,193,USA,25,126610,5,,Matteo Berrettini,R,196,ITA,26,7,7,,,,15,2,85,52,45,16,12,0,0,6,6,,,,7,2,97,62,47,15,12,9,9,9,16
2023-2843,Adelaide 1,Hard,32,A,20230102,270,3,R32,114,200615,,Q,Alexei Popyrin,R,196,AUS,23,200000,2,,Felix Auger Aliassime,R,193,CAN,22,6,7,,,,11,2,67,45,35,13,11,1,2,4,6,,,,7,2,66,45,33,11,11,2,4,120,6
2023-2843,Adelaide 1,Hard,32,A,20230102,271,3,R32,177,106218,,,Marcos Giron,R,180,USA,29,104755,,,Richard Gasquet,R,185,FRA,36,7,6,7,,,13,2,110,76,59,23,18,2,3,6,7,5,,,10,4,139,74,51,38,18,10,12,61,68
2023-2843,Adelaide 1,Hard,32,A,20230102,272,3,R32,40,111456,,,Mackenzie Mcdonald,R,178,USA,27,123755,,,Daniel Elahi Galan,R,191,COL,26,6,0,,,,4,1,20,14,14,2,4,0,0,3,0,,,,2,1,39,25,16,6,5,0,2,63,67
2023-2843,Adelaide 1,Hard,32,A,20230102,273,3,R32,125,106415,,,Yoshihito Nishioka,L,170,JPN,27,208029,5,,Holger Rune,R,185,DEN,19,2,6,6,,,0,8,86,54,36,16,14,5,9,6,4,4,,,14,8,95,57,40,16,14,7,11,36,11
2023-2843,Adelaide 1,Hard,32,A,20230102,274,3,R32,109,105138,,,Roberto Bautista Agut,R,183,ESP,34,126094,4,,Andrey Rublev,R,188,RUS,25,4,6,6,,,8,1,79,54,40,17,15,2,4,6,3,4,,,15,6,81,52,40,11,14,2,5,21,8
2023-2843,Adelaide 1,Hard,32,A,20230102,275,3,R32,116,200624,,,Sebastian Korda,R,196,USA,22,104918,,,Andy Murray,R,190,GBR,35,7,6,,,,12,1,64,39,34,14,11,4,5,6,3,,,,3,2,69,36,27,14,10,3,5,33,49
2023-2843,Adelaide 1,Hard,32,A,20230102,276,3,R32,131,106423,,WC,Thanasi Kokkinakis,R,196,AUS,26,202195,,,Maxime Cressy,R,198,USA,25,7,7,,,,21,0,72,52,45,13,12,3,4,6,6,,,,20,8,82,50,38,19,12,5,6,93,34
2023-2843,Adelaide 1,Hard,32,A,20230102,277,3,R32,65,206173,6,,Jannik Sinner,R,188,ITA,21,106378,,PR,Kyle Edmund,R,188,GBR,27,6,6,,,,5,1,41,25,23,13,9,0,0,3,2,,,,1,2,48,21,15,11,8,1,4,15,582
2023-2843,Adelaide 1,Hard,32,A,20230102,278,3,R32,85,111575,8,,Karen Khachanov,R,198,RUS,26,106398,,,Pedro Cachin,R,185,ARG,27,6,6,,,,6,3,61,34,30,12,9,6,7,2,4,,,,3,2,57,40,24,6,9,8,12,20,57
2023-2843,Adelaide 1,Hard,32,A,20230102,279,3,R32,68,207733,,,Jack Draper,L,191,GBR,21,126952,,Q,Soon Woo Kwon,R,180,KOR,25,6,6,,,,8,2,35,18,16,13,7,3,3,2,1,,,,2,3,52,24,12,10,8,7,12,42,83
2023-2843,Adelaide 1,Hard,32,A,20230102,280,3,R32,94,200175,,,Miomir Kecmanovic,R,183,SRB,23,106331,,WC,Christopher Oconnell,R,183,AUS,28,6,6,,,,4,4,74,42,24,23,10,5,6,4,4,,,,9,2,55,31,23,9,10,2,5,29,78
2023-2843,Adelaide 1,Hard,32,A,20230102,281,3,R32,102,106421,3,,Daniil Medvedev,R,198,RUS,26,132283,,,Lorenzo Sonego,R,191,ITA,27,7,2,,,,5,2,70,45,30,15,8,9,10,6,1,,,,1,1,57,32,25,11,7,3,4,7,45
2023-2843,Adelaide 1,Hard,32,A,20230102,283,3,R32,94,126128,,Q,Roman Safiullin,R,185,RUS,25,144707,,,Mikael Ymer,R,183,SWE,24,6,6,,,,4,3,65,40,31,13,9,5,5,4,2,,,,2,3,61,36,20,13,9,5,8,88,69
2023-2843,Adelaide 1,Hard,32,A,20230102,284,3,R32,76,111460,,,Quentin Halys,R,191,FRA,26,111442,,WC,Jordan Thompson,R,183,AUS,28,6,6,,,,14,2,47,30,27,13,10,0,0,3,4,,,,5,4,65,38,26,12,9,3,5,64,84
2023-2843,Adelaide 1,Hard,32,A,20230102,285,3,R32,74,104925,1,,Novak Djokovic,R,188,SRB,35,106005,,,Constant Lestienne,R,180,FRA,30,6,6,,,,4,2,47,29,25,13,9,1,1,3,2,,,,3,1,56,39,22,10,8,5,8,5,65
2023-2843,Adelaide 1,Hard,32,A,20230102,286,3,R16,112,200615,,Q,Alexei Popyrin,R,196,AUS,23,106218,,,Marcos Giron,R,180,USA,29,4,6,6,,,16,1,83,58,49,13,15,2,3,6,4,3,,,4,0,79,61,43,11,14,1,3,120,61
2023-2843,Adelaide 1,Hard,32,A,20230102,287,3,R16,95,106415,,,Yoshihito Nishioka,L,170,JPN,27,111456,,,Mackenzie Mcdonald,R,178,USA,27,6,6,,,,0,2,72,49,29,17,9,4,4,4,3,,,,3,2,57,36,26,8,10,1,4,36,63
2023-2843,Adelaide 1,Hard,32,A,20230102,288,3,R16,73,200624,,,Sebastian Korda,R,196,USA,22,105138,,,Roberto Bautista Agut,R,183,ESP,34,6,6,,,,12,0,57,41,33,10,10,2,2,4,4,,,,5,3,47,26,20,12,10,0,2,33,21
2023-2843,Adelaide 1,Hard,32,A,20230102,289,3,R16,122,206173,6,,Jannik Sinner,R,188,ITA,21,106423,,WC,Thanasi Kokkinakis,R,196,AUS,26,7,6,,,,5,2,78,58,40,12,11,6,7,6,4,,,,9,3,72,45,33,13,11,1,3,15,93
2023-2843,Adelaide 1,Hard,32,A,20230102,290,3,R16,91,111575,8,,Karen Khachanov,R,198,RUS,26,207733,,,Jack Draper,L,191,GBR,21,6,6,,,,7,1,53,39,32,9,9,1,1,4,2,,,,6,3,67,36,20,17,9,6,9,20,42
2023-2843,Adelaide 1,Hard,32,A,20230102,291,3,R16,67,106421,3,,Daniil Medvedev,R,198,RUS,26,200175,,,Miomir Kecmanovic,R,183,SRB,23,6,6,,,,7,3,51,38,29,7,8,1,1,0,3,,,,0,0,42,31,13,6,7,3,7,7,29
2023-2843,Adelaide 1,Hard,32,A,20230102,292,3,R16,81,133430,7,,Denis Shapovalov,L,185,CAN,23,126128,,Q,Roman Safiullin,R,185,RUS,25,6,6,,,,7,2,44,25,21,13,9,0,1,4,3,,,,3,3,70,45,29,11,10,7,11,18,88
2023-2843,Adelaide 1,Hard,32,A,20230102,293,3,R16,115,104925,1,,Novak Djokovic,R,188,SRB,35,111460,,,Quentin Halys,R,191,FRA,26,7,7,,,,10,4,76,50,44,14,12,0,1,6,6,,,,11,2,82,48,39,16,12,4,5,5,64
2023-0891,Pune,Hard,32,A,20230102,300,3,F,136,134868,,,Tallon Griekspoor,R,188,NED,26,126127,,,Benjamin Bonzi,R,185,FRA,26,4,7,6,,,17,4,86,61,48,13,15,3,4,6,5,3,,,11,4,102,66,47,18,16,4,7,95,60
2023-2843,Adelaide 1,Hard,32,A,20230102,294,3,QF,166,106415,,,Yoshihito Nishioka,L,170,JPN,27,200615,,Q,Alexei Popyrin,R,196,AUS,23,7,6,6,,,2,1,106,75,57,19,16,2,4,6,7,2,,,27,4,103,68,56,12,16,6,10,36,120
2023-0891,Pune,Hard,32,A,20230102,299,3,SF,81,134868,,,Tallon Griekspoor,R,188,NED,26,106234,8,,Aslan Karatsev,R,185,RUS,29,7,6,,,,11,2,53,36,32,13,10,0,0,6,1,,,,3,5,59,31,22,14,9,3,5,95,59
2023-0891,Pune,Hard,32,A,20230102,297,3,QF,0,134868,,,Tallon Griekspoor,R,188,NED,26,105227,1,,Marin Cilic,R,198,CRO,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,17
2023-0891,Pune,Hard,32,A,20230102,271,3,R32,98,207925,,Q,Flavio Cobolli,R,,ITA,20,124154,,WC,Sasi Kumar Mukund,R,185,IND,25,6,7,,,,6,2,65,36,29,12,11,6,9,4,5,,,,1,1,67,44,27,7,11,5,10,171,340
2023-0891,Pune,Hard,32,A,20230102,272,3,R32,112,109739,,Q,Maximilian Marterer,L,191,GER,27,111200,,Q,Elias Ymer,R,183,SWE,26,6,3,6,,,12,1,65,41,33,13,13,0,2,2,6,3,,,5,2,84,47,30,19,13,2,6,159,127
2023-0891,Pune,Hard,32,A,20230102,273,3,R32,64,111513,,,Laslo Djere,R,188,SRB,27,144684,5,,Alex Molcan,L,178,SVK,25,6,6,,,,12,0,41,26,23,13,9,0,0,2,4,,,,2,2,55,33,21,11,9,2,5,70,50
2023-0891,Pune,Hard,32,A,20230102,275,3,R32,61,126127,,,Benjamin Bonzi,R,185,FRA,26,202358,,,Chun Hsin Tseng,R,175,TPE,21,6,6,,,,2,0,39,21,18,14,8,0,0,0,3,,,,2,1,45,31,16,4,7,1,5,60,115
2023-0891,Pune,Hard,32,A,20230102,276,3,R32,88,111581,,,Michael Mmoh,R,188,USA,24,211768,,WC,Manas Dhamne,U,,IND,,6,6,,,,3,1,49,29,22,12,9,2,3,2,4,,,,0,0,59,37,21,10,9,6,10,113,
2023-0891,Pune,Hard,32,A,20230102,277,3,R32,144,105936,6,,Filip Krajinovic,R,185,SRB,30,111576,,WC,Sumit Nagal,R,178,IND,25,6,4,6,,,8,1,89,58,47,17,15,2,3,4,6,4,,,3,2,96,70,48,15,15,5,7,54,503
