tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,best_of,round,minutes,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,w1,w2,w3,w4,w5,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l1,l2,l3,l4,l5,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2361,Wimbledon,Grass,,G,20240702,12477658,5,R128,236,128552,,,Alexei Popyrin,R,196.0,AUS,24,47603,,,Thiago Monteiro,L,183.0,BRA,30,,6,6,6,6,0,24,0,104,83,75,14,21,0,0,4,7,3,4,0,7,4,117,70,52,31,20,1,4,47,,86,
2361,Wimbledon,Grass,,G,20240702,12477671,5,R128,107,163504,5,,Daniil Medvedev,R,198.0,RUS,28,187608,,,Aleksandar Kovacevic,R,183.0,USA,25,,6,6,6,0,0,16,4,81,52,42,17,14,3,3,3,4,2,0,0,9,4,84,52,38,11,13,4,8,5,,88,
2361,Wimbledon,Grass,,G,20240702,12477674,5,R128,175,14844,,,Gael Monfils,R,193.0,FRA,37,15894,22,,Adrian Mannarino,L,180.0,FRA,36,,6,3,7,6,0,16,2,119,77,62,22,21,1,3,4,6,5,4,0,1,5,141,88,57,32,20,8,11,33,,24,
2361,Wimbledon,Grass,,G,20240702,12477668,5,R128,141,88992,,,Alexandre Muller,R,183.0,FRA,27,205906,,Q,Hugo Gaston,L,173.0,FRA,23,,6,7,7,0,0,6,1,111,82,51,16,17,7,12,4,6,6,0,0,2,2,109,62,39,21,17,4,10,102,,71,
2361,Wimbledon,Grass,,G,20240702,12477678,5,R128,223,127208,,,Daniel Altmaier,R,188.0,DEU,25,321789,,WC,Arthur Fery,U,175.0,GBR,21,,4,7,1,6,6,13,9,142,78,62,24,22,7,14,6,6,6,3,1,6,4,167,106,63,34,23,13,21,80,,247,
2361,Wimbledon,Grass,,G,20240702,12477677,5,R128,110,14548,,,Stan Wawrinka,R,183.0,CHE,39,202181,,WC,Charles Broom,R,178.0,GBR,26,,6,7,6,0,0,11,1,100,58,43,22,16,4,6,3,5,4,0,0,6,2,93,62,39,17,15,7,12,95,,248,
2361,Wimbledon,Grass,,G,20240702,12477666,5,R128,142,275923,3,,Carlos Alcaraz,R,183.0,ESP,21,383991,,Q,Mark Lajal,U,191.0,EST,21,,7,7,6,0,0,4,4,89,56,47,18,16,2,4,6,5,2,0,0,7,2,100,67,39,19,16,5,10,3,,269,
2361,Wimbledon,Grass,,G,20240702,12477673,5,R128,208,157808,,Q,Lloyd Harris,R,193.0,ZAF,27,406728,,,Alex Michelsen,U,193.0,USA,19,,3,4,7,6,7,34,6,151,93,81,24,25,5,9,6,6,6,2,6,9,1,175,131,94,22,26,11,15,118,,55,
2361,Wimbledon,Grass,,G,20240702,12477841,5,R128,275,287803,,,Arthur Cazaux,R,183.0,FRA,21,170946,,Q,Zizou Bergs,R,185.0,BEL,25,,6,6,6,6,7,22,10,198,108,89,47,27,7,7,1,4,7,7,6,13,4,160,107,88,29,26,9,12,98,,82,
2361,Wimbledon,Grass,,G,20240702,12477847,5,R128,198,185388,16,,Ugo Humbert,L,188.0,FRA,26,264344,,,Alexander Shevchenko,R,185.0,KAZ,23,,6,4,7,6,6,16,0,182,134,68,28,24,7,10,1,6,6,7,1,11,8,227,155,57,40,24,9,16,16,,57,
2361,Wimbledon,Grass,,G,20240702,12477667,5,R128,230,124656,,,Aleksandar Vukic,R,188.0,AUS,28,83397,,,Sebastian Ofner,R,191.0,AUT,28,,6,6,6,3,7,16,5,195,118,85,37,26,16,22,7,4,4,6,6,24,9,180,100,76,38,27,9,16,69,,45,
2361,Wimbledon,Grass,,G,20240702,12477839,5,R128,209,163480,23,,Alexander Bublik,R,196.0,KAZ,27,372312,,,Jakub Mensik,U,193.0,CZE,18,,4,6,6,6,6,32,6,145,100,79,22,25,5,7,6,7,4,4,2,14,8,198,118,77,38,25,18,23,23,,78,
2361,Wimbledon,Grass,,G,20240702,12477736,5,R128,109,16720,,,Roberto Bautista Agut,R,183.0,ESP,36,71660,,,Maximilian Marterer,L,188.0,DEU,29,,6,6,6,0,0,9,2,86,59,43,17,13,7,7,3,1,4,0,0,8,4,78,49,33,11,13,5,10,112,,85,
2361,Wimbledon,Grass,,G,20240702,12477849,5,R128,148,102339,,,Botic Van De Zandschulp,R,191.0,NLD,28,47764,,WC,Liam Broady,L,183.0,GBR,30,,6,4,6,6,0,9,11,101,59,51,20,18,5,8,2,6,3,2,0,2,9,104,61,38,22,17,13,20,97,,156,
2361,Wimbledon,Grass,,G,20240702,12487621,5,R128,121,122368,27,,Tallon Griekspoor,R,188.0,NLD,28,92074,,,Elahi Galan,R,191.0,COL,28,,7,6,6,0,0,14,9,98,58,44,28,16,0,0,6,3,4,0,0,10,2,88,59,45,18,15,7,9,27,,103,
2361,Wimbledon,Grass,,G,20240702,12477659,5,R128,238,126356,,,Jaume Munar,R,183.0,ESP,27,111837,,WC,Billy Harris,R,193.0,GBR,29,,6,6,3,6,0,12,3,92,67,57,21,19,4,5,4,4,6,3,0,9,3,128,98,68,22,19,15,18,63,,116,
2361,Wimbledon,Grass,,G,20240702,12477714,5,R128,317,261015,25,,Lorenzo Musetti,R,185.0,ITA,22,62790,,,Constant Lestienne,R,180.0,FRA,32,,4,7,6,6,0,12,0,137,90,57,24,18,11,16,6,6,2,2,0,3,5,133,77,54,18,19,7,15,25,,92,
2361,Wimbledon,Grass,,G,20240702,12486212,5,R128,345,289146,,LL,Giovanni Mpetshi Perricard,R,202.99999999999997,FRA,21,195840,20,,Sebastian Korda,R,196.0,USA,24,,7,6,7,6,6,52,10,195,137,115,30,28,11,11,6,7,6,7,3,18,4,171,112,95,35,28,3,4,58,,21,
2361,Wimbledon,Grass,,G,20240702,12477701,5,R128,246,158896,7,,Hubert Hurkacz,R,196.0,POL,27,44547,,Q,Radu Albot,R,175.0,MDA,34,,5,6,6,6,0,24,3,122,78,66,20,21,3,5,7,4,3,4,0,0,7,111,68,48,24,20,1,5,7,,144,
2361,Wimbledon,Grass,,G,20240702,12477737,5,R128,145,104847,,,Lorenzo Sonego,R,191.0,ITA,29,271389,31,,Mariano Navone,U,178.0,ARG,23,,6,7,6,0,0,8,3,96,71,54,16,16,3,4,4,6,4,0,0,8,1,112,72,48,19,16,8,11,54,,32,
2361,Wimbledon,Grass,,G,20240702,12478352,5,R128,318,201239,9,,Alex De Minaur,R,183.0,AUS,25,39711,,LL,James Duckworth,R,183.0,AUS,32,,7,7,7,0,0,16,7,124,63,51,30,18,4,7,6,6,6,0,0,9,4,173,100,64,34,18,16,19,9,,81,
2361,Wimbledon,Grass,,G,20240702,12477656,5,R128,188,169496,30,,Martin Etcheverry,R,196.0,ARG,24,289233,,,Luca Nardi,R,185.0,ITA,20,,6,6,6,0,0,3,1,68,48,41,12,13,0,0,1,4,2,0,0,8,3,68,44,31,6,12,2,7,31,,75,
2361,Wimbledon,Grass,,G,20240702,12477680,5,R128,158,198592,,,Miomir Kecmanovic,R,183.0,SRB,24,131566,,,Sumit Nagal,R,178.0,IND,26,,6,3,6,6,0,6,2,105,63,43,25,18,7,11,2,6,3,4,0,3,4,121,79,52,15,18,12,19,52,,73,
2361,Wimbledon,Grass,,G,20240702,12477843,5,R128,89,229218,,Q,Otto Virtanen,R,193.0,FIN,23,124658,,,Max Purcell,R,185.0,AUS,26,,6,6,6,0,0,19,3,79,54,43,14,13,6,6,3,2,2,0,0,4,3,77,50,35,9,12,7,12,147,,68,
2361,Wimbledon,Grass,,G,20240702,12477845,5,R128,136,138546,12,,Tommy Paul,R,185.0,USA,27,77223,,,Pedro Martinez,R,185.0,ESP,27,,6,6,4,6,0,10,0,91,48,39,25,17,2,4,2,1,6,3,0,1,9,107,71,46,13,17,4,11,13,,49,
2361,Wimbledon,Grass,,G,20240702,12477681,5,R128,178,206570,1,,Jannik Sinner,R,188.0,ITA,22,47975,,,Yannick Hanfmann,R,193.0,DEU,32,,6,6,3,6,0,16,3,129,76,60,26,19,9,11,3,4,6,3,0,12,3,114,78,53,17,18,1,5,1,,110,
2361,Wimbledon,Grass,,G,20240702,12477715,5,R128,343,308084,,,Luciano Darderi,R,183.0,ITA,22,105607,,WC,Jan Choinski,R,196.0,GBR,28,,7,4,2,7,6,17,8,144,92,72,24,25,9,14,5,6,6,5,2,6,4,175,126,84,23,24,16,22,37,,174,
2361,Wimbledon,Grass,,G,20240702,12477712,5,R128,220,59281,,,Yoshihito Nishioka,L,170.0,JPN,28,125006,,,Nuno Borges,R,185.0,PRT,27,,6,7,2,6,0,3,1,126,77,53,29,19,6,9,2,6,6,3,0,21,7,112,73,58,16,18,7,11,90,,50,
2361,Wimbledon,Grass,,G,20240703,12477697,5,R128,1528,71280,,,Thanasi Kokkinakis,R,193.0,AUS,28,192013,17,,Felix Auger Aliassime,R,193.0,CAN,23,,4,5,7,6,6,19,4,155,97,79,31,27,5,8,6,7,6,4,4,22,8,169,111,89,28,27,7,10,93,,17,
2361,Wimbledon,Grass,,G,20240703,12457864,3,R64,114,14844,,,Gael Monfils,R,193.0,FRA,37,14548,,,Stan Wawrinka,R,183.0,CHE,39,,7,6,5,0,0,12,1,91,62,51,22,15,2,2,6,4,5,0,0,5,0,96,58,42,27,16,9,10,33,,95,
2361,Wimbledon,Grass,,G,20240703,12457867,5,R64,223,206570,1,,Jannik Sinner,R,188.0,ITA,22,112783,,,Matteo Berrettini,R,196.0,ITA,28,,7,7,2,7,0,10,2,138,91,72,25,22,3,7,6,6,6,6,0,28,3,164,118,82,21,22,8,10,1,,59,
