player,last_date,match_number,matches_played,elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Novak Djokovic,2024-06-04,12477653,360,2334.411361810478,1500,1500,2296.551394440773,2077.541058982643,2015.2518658057145,1500,1500,2361.0563372875,2082.450901109825,1825.3744482181744,1833.61193163556,1933.669419316061
Jannik Sinner,2024-07-03,12457867,296,2332.6068835976794,1500,1500,2265.54854678032,1974.6190154262647,1893.1519031015246,1500,1500,2200.072360765835,1979.0987047545432,1884.9122157727215,1834.0703609683803,2045.0487955414462
Carlos Alcaraz,2024-07-03,12458027,224,2273.4728522062564,1500,1500,2130.215660515829,2091.5875787450636,1908.6842793309459,1500,1500,2238.0597633642715,1967.0552445896221,1840.84535971545,1887.3854516207,2017.95548431192
Daniil Medvedev,2024-07-03,12458026,435,2175.2290209223943,1500,1500,2170.9290529423365,1902.1093686070262,1837.5926241959849,1500,1500,2171.0190326451684,1960.0460198762858,1829.4683402657504,1805.7363926326182,1950.352000408857
Alexander Zverev,2024-06-21,12418473,409,2166.653732121337,1500,1500,2049.643154567267,2063.4900341138327,1782.8339932317756,1500,1500,2057.012119769856,1890.1247768709256,1875.8521401880064,1795.4167087492824,1966.3961905592323
Rafael Nadal,2024-05-26,12361919,235,2118.630971282867,1500,1500,2018.1208193648474,2056.798480034574,1876.2321234955928,1500,1500,2143.430686675434,1983.1466055126557,1787.4506544125902,1778.7357688492727,1785.2145501333932
Grigor Dimitrov,2024-06-30,12477682,294,2106.4964186878547,1500,1500,2047.2579135582903,1880.1807107913892,1723.6142427684404,1500,1500,2012.3248408107388,1835.6736911299213,1859.8393000927158,1826.8171313649996,1949.4155850470972
Stefanos Tsitsipas,2024-06-20,12418471,440,2081.108308733169,1500,1500,1963.1160963759878,2055.164047503346,1738.012781325838,1500,1500,2041.983465045061,1914.5524585386604,1875.2171923967092,1773.4575348024784,1931.994214526217
Hubert Hurkacz,2024-06-22,12418470,319,2075.5438771917497,1500,1500,1984.7081857975402,1890.54876777644,1833.1264209124477,1500,1500,2001.2853709141027,1842.077304549841,1903.8677430748726,1769.5303683141235,1970.4732422120235
Roger Federer,2021-06-28,208,135,2071.337783944186,1500,1500,1995.5887321849432,1832.4388168183848,1877.7528737088905,1500,1500,2063.4961157577577,1870.0607646580345,1839.8879383490603,1765.6767412469358,1796.3678104647004
