player,last_date,match_number,matches_played,elo_rating,lefty_elo_rating,righty_elo_rating,hard_elo_rating,clay_elo_rating,grass_elo_rating,outdoor_elo_rating,indoor_elo_rating,set_elo_rating,game_elo_rating,service_game_elo_rating,return_game_elo_rating,tie_break_elo_rating
Ons Jabeur,2024-07-04,12460195,78,1879.8755996662994,1500,1500,1674.7637241404313,1802.9910847895403,1797.0648357602033,1500,1500,1805.9405890293754,1722.6656570126975,1833.7405455972307,1777.773478685104,1859.3694941871363
Lulu Sun,2024-07-05,12460165,19,1819.8251827320876,1500,1500,1677.6007975089883,1535.6434525986813,1775.6964163152752,1500,1500,1668.9370934859728,1617.7133224273675,1782.9396255293302,1766.3694352581142,1860.48491143579
Iga Swiatek,2024-07-04,12460176,120,2168.5201110732683,1500,1500,2009.8602058973547,2005.0821879539255,1771.7293136221351,1500,1500,2061.2604591775707,1971.3782514876868,1883.9782696376642,1887.477487382309,1979.1687942622043
Donna Vekic,2024-07-05,12460167,79,1827.0511288759078,1500,1500,1712.6995628910697,1667.5601299274813,1769.0081750034312,1500,1500,1695.8633235395187,1689.9452161231882,1744.444223929091,1766.3102081247646,1822.9687607934948
Madison Keys,2024-07-05,12457911,74,1934.0027561451798,1500,1500,1781.2566893067167,1827.5800460350704,1768.2134900929032,1500,1500,1850.8456251666228,1793.6449315280604,1775.9189383655798,1809.8731603358024,1871.7285971023541
Leylah Fernandez,2024-07-04,12457877,81,1853.440628407324,1500,1500,1795.0620143072363,1655.512762525138,1765.004969661378,1500,1500,1796.488139592193,1717.3192658654261,1764.4863245921133,1801.3739188032544,1836.1208458526803
Yulia Putintseva,2024-07-04,12460181,88,1913.7883826950178,1500,1500,1785.7880806078465,1755.4052995061152,1761.8990021812858,1500,1500,1798.9241862591743,1761.328208575423,1815.831255588298,1857.9140596943164,1911.015926810376
Liudmila Samsonova,2024-07-04,12460193,90,1842.8716119021042,1500,1500,1721.4128500140969,1703.7935705967805,1760.7240882638287,1500,1500,1801.5496095424874,1722.384220832199,1769.2324702063,1816.779658058124,1867.9980733022546
Coco Gauff,2024-07-05,12457913,111,2017.8972763724796,1500,1500,1947.4900672253066,1855.7380975218005,1760.4220256951392,1500,1500,1927.9245826945412,1859.1754341120898,1812.3094796783248,1862.0383307755833,1901.4158948750248
Anna Kalinskaya,2024-07-04,12460196,65,1889.1049344069952,1500,1500,1863.405236133042,1660.7989481298766,1755.6429241155533,1500,1500,1750.3777666985077,1768.447256420834,1809.830468236667,1824.3331452214695,1876.3564479540087
Jessica Pegula,2024-07-04,12460194,98,1929.4637118971307,1500,1500,1893.4293268109798,1639.188147997008,1754.0996483577353,1500,1500,1883.1707359812503,1794.6066428225238,1777.8194449346827,1801.180900722455,1853.6453692808857
Elina Svitolina,2024-07-04,12460192,56,1865.04092646888,1500,1500,1766.5614861041606,1771.3315411880913,1753.7970463921602,1500,1500,1798.3946429925156,1692.419100239371,1731.2347820899076,1805.8373537332718,1833.1532346038891
Jelena Ostapenko,2024-07-04,12460175,96,1877.53640916886,1500,1500,1836.1621043757375,1761.269359609753,1752.9851376996442,1500,1500,1798.7682924619423,1730.9263366844668,1784.033882219044,1833.5427520762146,1865.9885614719856
Emma Raducanu,2024-07-05,12460168,32,1825.0492654529585,1500,1500,1708.9868142287833,1353.725880554648,1752.6475513591208,1500,1500,1703.4043952530556,1699.9665727594743,1808.4563247446174,1828.4793346083948,1894.2182237870331
Diana Shnaider,2024-07-05,12457912,60,1840.1150455851657,1500,1500,1749.75046013907,1642.8242575476118,1751.9429910648375,1500,1500,1730.9693505357727,1695.7659872735528,1766.9536030754025,1821.9439043002085,1883.2182908174693
Daria Kasatkina,2024-07-05,12460166,105,1882.5040417521104,1500,1500,1773.461959562276,1739.4977075080553,1750.4164279645008,1500,1500,1794.1939524603777,1721.2859859201083,1756.8108246750026,1882.7786076469029,1859.7430981084
Emma Navarro,2024-07-05,12457912,75,1898.6942666363027,1500,1500,1857.394867901118,1745.8412972069325,1749.6121924173804,1500,1500,1785.3772433272118,1744.0188479699161,1761.485978802957,1839.973787959083,1879.5698797812656
Dalma Galfi,2024-07-04,12460171,44,1789.3183804075966,1500,1500,1647.0110883999687,1381.4131780788177,1748.1945594443123,1500,1500,1673.346080621751,1643.8594417004635,1759.240991370766,1828.773710692868,1842.4729701466013
Marketa Vondrousova,2024-07-02,12477448,78,1850.338777736368,1500,1500,1765.5978169241773,1769.7280131817542,1745.9644353337476,1500,1500,1845.3457571652634,1734.902338158335,1684.180577491047,1763.2138391149404,1776.4476394207584
Paula Badosa,2024-07-05,12460166,54,1865.9502054986133,1500,1500,1666.8480176412916,1765.2754678828462,1743.7860269772339,1500,1500,1809.440515297791,1716.1997022415821,1800.4078635342019,1816.6536545469207,1902.4277694788336
Aryna Sabalenka,2024-06-21,12446866,108,2021.038076810911,1500,1500,1936.3471510184527,1893.4833350855442,1742.8110212589884,1500,1500,1956.951540301883,1863.5675827328123,1805.989334418154,1823.2750143277194,1921.4748474657151
Barbora Krejcikova,2024-07-04,12457879,65,1785.0733435703619,1500,1500,1792.6334479224895,1223.8360933012068,1741.729531938753,1500,1500,1741.8157166392305,1681.9846996576978,1701.1662748246888,1703.3969425759171,1822.7245916658212
Robin Montgomery,2024-07-04,12460195,28,1801.6150649302242,1500,1500,1603.131774095161,1677.8481178205786,1737.4693513168854,1500,1500,1662.5445337020133,1595.7391657635949,1744.5671118463795,1725.3637066438741,1797.6745358104538
Katerina Siniakova,2024-07-04,12460181,69,1827.8584048734738,1500,1500,1755.16710779079,1596.8078294609286,1737.1784868956697,1500,1500,1757.542237850456,1699.8934493209038,1761.0153218570294,1779.243379308209,1796.0863303689132
Elena Rybakina,2024-07-04,12457878,98,2028.3100174944602,1500,1500,1972.4589488068536,1818.6355035152314,1734.1085232848816,1500,1500,1939.4545620536219,1842.8786722802965,1775.8362627603335,1797.8924779154447,1878.2391903387932
Ekaterina Alexandrova,2024-06-24,12432714,88,1770.298958788444,1500,1500,1809.2297222856473,1534.9345318300072,1733.0034712517795,1500,1500,1724.0845372629046,1635.341378520831,1752.40699586607,1784.0356250561556,1804.1941609104401
Harriet Dart,2024-07-04,12460191,48,1755.6592707237048,1500,1500,1650.7822460601637,1453.2984405697034,1732.4490857600667,1500,1500,1649.1646784520406,1596.0611010989803,1747.309588566282,1782.6929254439806,1841.7760752074632
Petra Kvitova,2023-10-02,280,41,1785.4446807054708,1500,1500,1778.6685609785088,1277.3738043841624,1729.8893511383098,1500,1500,1763.4645145526495,1656.4686605284876,1678.304948111519,1718.5195236153181,1705.23993977093
Victoria Azarenka,2024-06-21,12452374,77,1881.4688977977687,1500,1500,1836.701834443035,1702.6647664279649,1717.9097567454946,1500,1500,1772.9285138344153,1767.7149413855475,1780.7309840235475,1854.5567039405269,1870.143418947118
Jasmine Paolini,2024-07-05,12457910,87,1937.6419431277393,1500,1500,1838.0238232774439,1807.7683658372707,1717.8940749475464,1500,1500,1790.891033437354,1750.7619180240906,1752.143309190243,1835.4056670470393,1919.5394191046598
Katie Boulter,2024-07-04,12460191,53,1810.4567359483544,1500,1500,1792.2573556525144,1339.712932496229,1715.9204231918434,1500,1500,1739.1635152563706,1676.6619852136917,1725.0785507611638,1778.0971453536229,1823.1389896252415
Beatriz Haddad Maia,2024-07-04,12460170,84,1805.6909580212666,1500,1500,1728.4812204950288,1755.8655205657296,1715.1197153698192,1500,1500,1751.1751052155782,1698.3974996378429,1782.0218115314765,1800.5982742827107,1818.2612880281138
Daria Snigur,2024-07-04,12460175,20,1760.6102476115132,1500,1500,1644.4800792832857,1538.6890540328832,1712.269854947751,1500,1500,1658.727732732756,1620.3257668644799,1724.5758032614856,1782.4331903868601,1820.0421792761451
Alexia Todoni,2024-07-03,12457892,11,1742.8673970572468,1500,1500,1452.910868470825,1582.6782107699594,1711.1553691909296,1500,1500,1620.5448954695858,1573.1260987332569,1730.224416452212,1723.187494916789,1813.1523867392475
Xin Yu Wang,2024-07-04,12460194,80,1814.5490893905899,1500,1500,1721.741485369655,1685.696580710632,1710.6211895225513,1500,1500,1720.742517430379,1655.9298222759653,1715.7002669923434,1819.184278775778,1835.6292199066993
Sonay Kartal,2024-07-05,12457913,11,1759.5504618544824,1500,1500,1500.0,1500.0,1709.5880124460223,1500,1500,1620.863902490692,1613.6745770164832,1723.3835314445005,1780.533804128032,1783.6620615702668
Yulia Starodubtsewa,2024-07-03,12460190,20,1763.3958218940493,1500,1500,1675.3290530810546,1704.2750317333214,1698.290054406765,1500,1500,1651.6143657848518,1648.0390393805972,1721.9739680743787,1804.5414392211615,1777.711801226089
Elisabetta Cocciaretto,2024-06-21,12419890,65,1796.8510676517567,1500,1500,1595.1361588486923,1755.5850380384497,1696.1662162084885,1500,1500,1694.950546012954,1652.0761357117756,1758.9769465723978,1774.232578651302,1830.9324997285282
Bianca Andreescu,2024-07-05,12457910,41,1789.6207731262741,1500,1500,1710.7238172891678,1692.4936113201068,1695.4827000695575,1500,1500,1666.578748455972,1581.9448661630113,1758.133671281264,1764.5483147708028,1832.729512929657
Elina Avanesyan,2024-07-04,12460193,48,1793.9530749975243,1500,1500,1687.4667089111358,1700.9574940388684,1693.8146728451857,1500,1500,1676.5398824911113,1635.9083293469398,1712.5739301983554,1819.2729582538982,1841.189100660514
Mccartney Kessler,2024-06-30,12477860,16,1698.4533235366,1500,1500,1476.4824215449812,1272.1313210694668,1693.0780467889497,1500,1500,1554.5736006613265,1459.6804631717332,1614.8001053056903,1768.3128516766087,1740.4081310642853
Marina Stakusic,2024-07-02,12477463,19,1746.5556387442296,1500,1500,1727.9673676571858,1647.2636776501774,1690.9266186881412,1500,1500,1676.9240259391113,1633.417695118965,1726.0922606129493,1773.917136217577,1772.3635357590242
Katie Volynets,2024-07-04,12457879,57,1813.7642360525283,1500,1500,1750.094576225621,1717.7608026956054,1689.405705521659,1500,1500,1702.5351879222078,1699.620384006698,1587.517837761254,1818.5981867263974,1771.319106274905
