tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2644,Brisbane,Hard,,A,20240101,11929220,66476,,WC,Naomi Osaka,R,180,JPN,26,69988,,,Tamara Korpatsch,R,170,DEU,29,6-3 7-6(2) 0-0,3,R64,70,5,1,62,45,33,7,10,0,2,1,5,85,58,34,10,11,4,8,113,,73,
2644,Brisbane,Hard,,A,20240101,11930388,232651,,Q,Olivia Gadecki,R,,AUS,22,105099,,WC,Kimberly Birrell,R,170,AUS,26,4-6 6-0 6-4,3,R64,45,7,7,66,44,38,9,13,0,2,4,7,94,62,39,13,13,9,14,173,,132,
2554,Auckland,Hard,,A,20240101,11929303,223148,,,Xiyu Wang,L,182,CHN,23,72758,,,Jaqueline Cristian,R,182,ROU,26,6-1 5-7 7-6(2),3,R32,79,5,4,100,72,51,15,15,6,8,2,10,103,50,40,21,16,6,10,54,,62,
2644,Brisbane,Hard,,A,20240101,11930391,254282,,Q,Julia Riera,U,,ARG,22,41374,,,Viktoriya Tomova,R,170,BGR,29,6-2 6-4 0-0,3,R64,41,3,1,53,34,27,11,9,1,1,0,2,54,33,17,13,9,1,4,106,,48,
2644,Brisbane,Hard,,A,20240101,11930393,58515,,,Danielle Collins,R,178,USA,30,248326,,Q,Hailey Baptiste,R,,USA,22,6-1 4-6 6-3,3,R64,41,2,6,82,47,32,21,13,4,6,5,4,75,49,33,9,13,6,11,11,,99,
2644,Brisbane,Hard,,A,20240101,11930392,206568,,,Clara Burel,R,176,FRA,23,237669,,Q,Zeynep Sonmez,U,,TUR,22,6-4 6-2 0-0,3,R64,33,1,4,56,32,24,12,9,4,5,0,3,53,36,24,5,9,3,7,45,,137,
2644,Brisbane,Hard,,A,20240101,11925996,23082,,WC,Arina Rodionova,R,168,AUS,34,91960,14,,Sofia Kenin,R,170,USA,25,7-5(2) 7-6(2) 0-0,3,R32,85,4,3,78,58,37,11,12,2,5,1,4,126,86,51,15,12,17,21,103,,49,
2644,Brisbane,Hard,,A,20240101,11925999,19017,8,,Victoria Azarenka,R,183,BLR,34,179146,,,Anna Kalinskaya,R,175,RUS,25,6-1 7-6(2) 0-0,3,R32,95,4,2,83,47,33,17,10,5,7,2,3,76,55,30,9,9,7,11,16,,18,
2644,Brisbane,Hard,,A,20240101,11930390,274049,,,Linda Noskova,R,179,CZE,19,43102,,Q,Timea Babos,R,179,HUN,31,5-7 7-6(2) 7-6(2),3,R64,61,5,6,133,90,68,22,18,6,7,18,4,123,84,63,25,18,9,9,26,,255,
2554,Auckland,Hard,,A,20240101,11929298,207979,4,,Emma Navarro,R,170,USA,23,306421,,,Linda Fruhvirtova,R,172,CZE,19,2-6 6-4 6-2,3,R32,50,2,1,77,52,33,12,13,5,9,4,8,113,69,44,17,13,7,12,17,,147,
2644,Brisbane,Hard,,A,20240101,11929225,110055,,,Lucia Bronzetti,R,170,ITA,25,311012,,,Ashlyn Krueger,R,185,USA,20,6-4 7-5(2) 0-0,3,R64,1677,1,3,75,51,32,12,11,1,4,4,10,87,57,35,9,10,10,15,81,,75,
2554,Auckland,Hard,,A,20240101,11929299,262594,,,Elina Avanesyan,R,172,RUS,21,246283,,WC,Monique Barry,U,,NZL,22,7-6(2) 6-2 0-0,3,R32,31,0,7,70,50,33,5,10,2,6,0,5,60,35,16,10,10,1,7,77,,664,
2554,Auckland,Hard,,A,20240101,11929302,227431,6,,Xinyu Wang,R,182,CHN,22,45545,,,Yulia Putintseva,R,163,KAZ,29,6-4 7-5(2) 0-0,3,R32,51,2,2,67,42,29,9,11,1,5,0,0,81,63,36,6,11,7,13,42,,35,
